Code_UAI;charte_num
0810016C;Très bien
0810026N;Moyen
0810041E;Moyen
0810124V;Moyen
0810125W;Très bien
0811144D;Moyen
0090003E;Moyen
0090019X;Bien
0090055L;Moyen
0110010B;Très bien
0110067N;Moyen
0110665N;Bien
0110675Z;Moyen
0110870L;Très bien
0120002M;Bien
0120031U;Très bien
0300023M;Mauvais
0300946R;Moyen
0301010K;Mauvais
0301214G;Moyen
0301232B;Mauvais
0310022F;Moyen
0310024H;Mauvais
0310039Z;Moyen
0310046G;Très bien
0310052N;Moyen
0310084Y;Moyen
0311235Z;Moyen
0311265G;Bien
0311266H;Très bien
0311327Z;Très bien
0311333F;Bien
0311335H;Très bien
0311584D;Bien
0311586F;Très bien
0311631E;Moyen
0311686P;Très bien
0311687R;Très bien
0311689T;Mauvais
0311851U;Mauvais
0312140H;Très bien
0312478A;Très bien
0312610U;Très bien
0312729Y;Mauvais
0312759F;Très bien
0312915A;Très bien
0320015T;Très bien
0320019X;Moyen
0320021Z;Mauvais
0320023B;Moyen
0320028G;Moyen
0320036R;Très bien
0320074G;Moyen
0320562M;Bien
0320608M;Mauvais
0340009A;Très bien
0340011C;Bien
0340053Y;Moyen
0340837A;Très bien
0340973Y;Moyen
0340998A;Moyen
0341030K;Mauvais
0341276C;Mauvais
0341364Y;Moyen
0341388Z;Moyen
0341764H;Moyen
0341794R;Mauvais
0341870Y;Mauvais
0341921D;Moyen
0342036D;Bien
0342050U;Bien
0342225J;Bien
0460013P;Moyen
0460027E;Moyen
0460030H;Moyen
0460565P;Mauvais
0650025Z;Bien
0650031F;Moyen
0650034J;Mauvais
0650050B;Moyen
0650089U;Moyen
0660001T;Très bien
0660038H;Moyen
0090007J;Très bien
0090481Z;Très bien
0090546V;Moyen
0110672W;Moyen
0110721Z;Moyen
0111048E;Très bien
0120020G;Très bien
0120024L;Mauvais
0120037A;Mauvais
0120878P;Très bien
0121295T;Moyen
0300037C;Mauvais
0300039E;Moyen
0301721H;Moyen
0310007P;Très bien
0310012V;Mauvais
0310037X;Bien
0310041B;Moyen
0310053P;Très bien
0311094W;Mauvais
0311111P;Moyen
0311232W;Moyen
0311338L;Moyen
0311582B;Moyen
0311690U;Très bien
0312696M;Très bien
0312822Z;Moyen
0320008K;Mauvais
0320009L;Très bien
0320014S;Très bien
0320033M;Mauvais
0340039H;Très bien
0340996Y;Mauvais
0341363X;Très bien
0341367B;Mauvais
0460024B;Moyen
0460026D;Moyen
0460028F;Mauvais
0460592U;Très bien
0480003T;Très bien
0480016G;Très bien
0480688M;Bien
0650003A;Très bien
0650014M;Bien
0650026A;Moyen
0650029D;Très bien
0650038N;Moyen
0660011D;Bien
0660648W;Très bien
0660866H;Mauvais
0810030T;Très bien
0811197L;Moyen
0811340S;Moyen
0820007M;Mauvais
0820021C;Bien
0820032P;Mauvais
0820704V;Très bien
0090010M;Très bien
0090012P;Très bien
0090015T;Très bien
0090573Z;Moyen
0110027V;Très bien
0110859Z;Mauvais
0111051H;Moyen
0120006S;Moyen
0120019F;Moyen
0120021H;Très bien
0120025M;Moyen
0120028R;Très bien
0120101V;Moyen
0121178R;Bien
0300021K;Très bien
0300046M;Très bien
0301013N;Moyen
0301096D;Moyen
0301552Z;Moyen
0301778V;Très bien
0310001H;Moyen
0310017A;Très bien
0310019C;Bien
0310025J;Moyen
0310029N;Moyen
0310038Y;Bien
0310040A;Bien
0310047H;Très bien
0310054R;Très bien
0310083X;Moyen
0310085Z;Moyen
0310088C;Très bien
0311231V;Mauvais
0311238C;Moyen
0311330C;Bien
0311630D;Très bien
0311632F;Moyen
0311633G;Très bien
0311688S;Moyen
0311769E;Moyen
0312071H;Moyen
0312092F;Moyen
0312611V;Très bien
0312699R;Moyen
0312754A;Moyen
0320002D;Mauvais
0320006H;Bien
0320011N;Très bien
0340040J;Très bien
0340111L;Très bien
0341321B;Moyen
0341366A;Bien
0341893Y;Mauvais
0342326U;Moyen
0460008J;Moyen
0460022Z;Moyen
0460528Z;Moyen
0460529A;Mauvais
0460530B;Très bien
0480015F;Très bien
0650033H;Bien
0660051X;Très bien
0660480N;Moyen
0660522J;Mauvais
0810004P;Très bien
0810005R;Moyen
0810006S;Bien
0810019F;Mauvais
0810025M;Mauvais
0810037A;Bien
0810038B;Moyen
0810051R;Moyen
0810127Y;Moyen
0811030E;Moyen
0811331G;Moyen
0820001F;Très bien
0820066B;Moyen
0820683X;Moyen
0820896D;Mauvais
0810003N;Bien
0810023K;Mauvais
0810044H;Moyen
0810061B;Très bien
0810787R;Moyen
0810961E;Moyen
0810995S;Très bien
0820014V;Très bien
0820016X;Très bien
0820017Y;Très bien
0820020B;Très bien
0820029L;Moyen
0820588U;Moyen
0820823Z;Moyen
0090018W;Très bien
0090024C;Très bien
0090056M;Moyen
0110019L;Moyen
0110023R;Très bien
0120016C;Moyen
0120032V;Très bien
0120038B;Très bien
0120096P;Très bien
0120622L;Moyen
0121133S;Très bien
0121273U;Moyen
0121297V;Moyen
0300002P;Mauvais
0300031W;Mauvais
0300032X;Très bien
0300043J;Très bien
0300062E;Bien
0300949U;Moyen
0301012M;Mauvais
0301325C;Moyen
0301671D;Bien
0310003K;Bien
0310005M;Très bien
0310021E;Très bien
0310028M;Très bien
0310056T;Moyen
0310057U;Moyen
0311092U;Très bien
0311240E;Très bien
0311580Z;Moyen
0311634H;Moyen
0311718Z;Moyen
0311772H;Moyen
0312093G;Moyen
0312609T;Très bien
0312743N;Mauvais
0312744P;Très bien
0312746S;Très bien
0312868Z;Très bien
0320001C;Très bien
0320010M;Très bien
0320029H;Très bien
0320031K;Moyen
0320040V;Mauvais
0340006X;Moyen
0340021N;Très bien
0340032A;Très bien
0340059E;Très bien
0340063J;Très bien
0340088L;Bien
0341028H;Bien
0341656R;Moyen
0342066L;Très bien
0342090M;Très bien
0460007H;Très bien
0460010L;Très bien
0460015S;Moyen
0460493L;Très bien
0460593V;Moyen
0460594W;Très bien
0480006W;Moyen
0480013D;Mauvais
0480017H;Très bien
0650012K;Moyen
0650019T;Bien
0650037M;Très bien
0650088T;Très bien
0650740B;Moyen
0660018L;Très bien
0660029Y;Très bien
0660601V;Très bien
0090001C;Mauvais
0090002D;Très bien
0090009L;Moyen
0090013R;Moyen
0090020Y;Mauvais
0090478W;Bien
0110012D;Très bien
0110022P;Bien
0110025T;Mauvais
0110666P;Bien
0110676A;Très bien
0120004P;Très bien
0120022J;Très bien
0300020J;Mauvais
0300026R;Mauvais
0300027S;Très bien
0301014P;Moyen
0301656M;Mauvais
0301723K;Moyen
0310023G;Très bien
0310032S;Moyen
0310035V;Moyen
0310092G;Mauvais
0311093V;Moyen
0311112R;Mauvais
0311264F;Moyen
0311334G;Très bien
0311573S;Très bien
0311581A;Très bien
0311720B;Très bien
0311721C;Moyen
0311902Z;Bien
0312139G;Moyen
0312220V;Moyen
0312267W;Très bien
0312289V;Moyen
0312290W;Bien
0312612W;Mauvais
0312686B;Moyen
0312698P;Très bien
0312700S;Très bien
0312762J;Mauvais
0312799Z;Très bien
0312843X;Moyen
0320013R;Moyen
0320030J;Très bien
0320067Z;Mauvais
0320563N;Très bien
0340031Z;Mauvais
0340037F;Très bien
0340042L;Très bien
0340065L;Mauvais
0340076Y;Bien
0340086J;Moyen
0340110K;Très bien
0340974Z;Bien
0341066Z;Moyen
0341592W;Très bien
0341826A;Très bien
0342051V;Très bien
0342132H;Moyen
0342266D;Bien
0460018V;Très bien
0480007X;Très bien
0650020U;Mauvais
0650036L;Mauvais
0660004W;Moyen
0660008A;Bien
0660010C;Mauvais
0660028X;Mauvais
0660078B;Mauvais
0660600U;Mauvais
0660809W;Mauvais
0660864F;Bien
0660925X;Mauvais
0810002M;Très bien
0810008U;Moyen
0810012Y;Moyen
0810027P;Très bien
0810028R;Moyen
0810033W;Mauvais
0810036Z;Très bien
0810043G;Mauvais
0810126X;Moyen
0810959C;Très bien
0810960D;Moyen
0811032G;Très bien
0820004J;Très bien
0820011S;Très bien
0820067C;Mauvais
0820684Y;Bien
0820713E;Moyen
