uai;niveau_label;commune;ecole;nbr_classes;latitude;longitude;niveau;nom_ecole;Rentrée scolaire;Académie;Code du département;Département;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS
0301584J;1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE EDOUARD VAILLANT;22.0;43.820682089693896;4.334749821693601;elementaire;edouard vaillant;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE EDOUARD VAILLANT;30189;NIMES;public;65.5
0660259Y;1;THEZA;ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL;6.0;42.63661162114728;2.950880118148673;elementaire;marcel pagnol;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE MARCEL PAGNOL;66208;THEZA;public;98.6
0342029W;1;LUNEL;ECOLE ELEMENTAIRE PUBLIQUE LOUISE MICHEL;6.0;43.68853603475545;4.138059807720123;elementaire;louise michel;2021-2022;MONTPELLIER;034;HERAULT;ECOLE ELEMENTAIRE LOUISE MICHEL;34145;LUNEL;public;110.2
0660554U;1;SAINT-CYPRIEN;ECOLE ELEMENTAIRE PUBLIQUE ALAIN;7.0;42.6249662306995;3.026529664067911;elementaire;alain;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE ALAIN;66171;SAINT CYPRIEN;public;87.3
0480580V;1;LE MALZIEU-VILLE;ECOLE PRIMAIRE PUBLIQUE;4.0;44.85512605524427;3.329670082702705;primaire;non renseigné;2021-2022;MONTPELLIER;048;LOZERE;ECOLE PRIMAIRE;48090;LE MALZIEU VILLE;public;106.5
0110166W;2;CARCASSONNE;ECOLE ELEMENTAIRE PUBLIQUE MARCELLIN BERTHELOT;5.0;43.22173906744284;2.349729934226498;elementaire;marcellin berthelot;2021-2022;MONTPELLIER;011;AUDE;ECOLE ELEMENTAIRE MARCELIN BERTHELOT;11069;CARCASSONNE;public;87.1
0660203M;1;VERNET-LES-BAINS;ECOLE PRIMAIRE PUBLIQUE LUDOVIC MASSE;4.0;42.54701435258209;2.390319931367089;primaire;ludovic masse;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE PRIMAIRE LUDOVIC MASSE;66222;VERNET LES BAINS;public;103.1
0110204M;2;CASTELNAUDARY;ECOLE ELEMENTAIRE PUBLIQUE DE L EST;5.0;43.31601267368825;1.9586606086592988;elementaire;de l est;2021-2022;MONTPELLIER;011;AUDE;ECOLE ELEMENTAIRE DE L EST;11076;CASTELNAUDARY;public;84.8
0110301T;2;FONTIES-D'AUDE;ECOLE PRIMAIRE PUBLIQUE;2.0;43.18908144389607;2.4506799082435613;primaire;non renseigné;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE;11151;FONTIES D AUDE;public;84.9
0110589F;2;VILLEGAILHENC;ECOLE ELEMENTAIRE PUBLIQUE;5.0;43.26774002947744;2.3568400821669924;elementaire;non renseigné;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE;11425;VILLEGAILHENC;public;99.2
0110786V;2;LAURE-MINERVOIS;ECOLE PRIMAIRE PUBLIQUE DES CAPITELLES;3.0;43.26997112339227;2.5215306017234345;primaire;des capitelles;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE DES CAPITELLES;11198;LAURE MINERVOIS;public;98.6
0300321L;2;CAVILLARGUES;ECOLE PRIMAIRE PUBLIQUE;4.0;44.11398119452192;4.519903583975044;primaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30076;CAVILLARGUES;public;102.7
0300368M;2;FONS;ECOLE ELEMENTAIRE PUBLIQUE;4.0;43.90836632518895;4.193970110829808;elementaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE;30112;FONS;public;109.8
0300428C;2;SAINT-MICHEL-D'EUZET;ECOLE PRIMAIRE PUBLIQUE;4.0;44.19884574343938;4.547390001448491;primaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30287;SAINT MICHEL D EUZET;public;107.4
0300433H;2;SAINT-PAULET-DE-CAISSON;ECOLE PRIMAIRE PUBLIQUE;9.0;44.26163442427451;4.59684979439586;primaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30290;SAINT PAULET DE CAISSON;public;111.1
0301219M;2;ALES;ECOLE ELEMENTAIRE PUBLIQUE MARIE CURIE;5.0;44.124293150509786;4.0907004626739;elementaire;marie curie;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE MARIE CURIE;30007;ALES;public;89.7
0300601R;2;NIMES;ECOLE ELEMENTAIRE PUBLIQUE JEAN JAURES;5.0;43.83714045286442;4.350070093998072;elementaire;jean jaures;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE JEAN JAURES;30189;NIMES;public;92.1
0301603E;2;AIMARGUES;ECOLE ELEMENTAIRE PUBLIQUE FANFONNE GUILLIERME;12.0;43.685048762905176;4.211659490825344;elementaire;fanfonne guillierme;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE FANFONNE GUILLIERME;30006;AIMARGUES;public;102.8
0301021X;2;COLLIAS;ECOLE PRIMAIRE PUBLIQUE GROUPE SCOLAIRE DES TILLEULS;3.0;43.953921193860765;4.476496572375287;primaire;groupe scolaire des tilleuls;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30085;COLLIAS;public;119.5
0301677K;2;ALES;ECOLE ELEMENTAIRE PUBLIQUE ROMAIN ROLLAND;10.0;44.13662491657487;4.090989497414049;elementaire;romain rolland;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE ROMAIN ROLLAND;30007;ALES;public;69.5
0301191G;2;CONNAUX;ECOLE PRIMAIRE PUBLIQUE GROUPE SCOLAIRE ROBERT TERRAL;9.0;44.089894875114716;4.592420334970449;primaire;groupe scolaire robert terral;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE ROBERT TERRAL;30092;CONNAUX;public;104.5
0340147A;2;AGDE;ECOLE ELEMENTAIRE PUBLIQUE ANATOLE FRANCE;10.0;43.311330285441976;3.4739194120969183;elementaire;anatole france;2021-2022;MONTPELLIER;034;HERAULT;ECOLE ELEMENTAIRE ANATOLE FRANCE;34003;AGDE;public;77.8
0341814M;2;SAINT-BAUZILLE-DE-PUTOIS;ECOLE PRIMAIRE PUBLIQUE DU THAURAC;10.0;43.895587718810624;3.7393100195803464;primaire;du thaurac;2021-2022;MONTPELLIER;034;HERAULT;ECOLE PRIMAIRE DU THAURAC;34243;SAINT BAUZILLE DE PUTOIS;public;105.8
0480186S;2;CHASTEL-NOUVEL;ECOLE PRIMAIRE PUBLIQUE;4.0;44.55858170296049;3.502100472034462;primaire;non renseigné;2021-2022;MONTPELLIER;048;LOZERE;ECOLE PRIMAIRE;48042;CHASTEL NOUVEL;public;110.3
0660242E;2;CORNEILLA-DEL-VERCOL;ECOLE ELEMENTAIRE PUBLIQUE;5.0;42.62466098590744;2.9515987101252574;elementaire;non renseigné;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE;66059;CORNEILLA DEL VERCOL;public;103.9
0110100Z;3;BAGNOLES;ECOLE ELEMENTAIRE PUBLIQUE;2.0;43.269037105896295;2.4386498711968616;elementaire;non renseigné;2021-2022;MONTPELLIER;011;AUDE;ECOLE ELEMENTAIRE;11025;BAGNOLES;public;111.1
0110426D;3;NARBONNE;ECOLE ELEMENTAIRE PUBLIQUE VOLTAIRE;8.0;43.193468062241365;3.0172900876222766;elementaire;voltaire;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE VOLTAIRE;11262;NARBONNE;public;86.9
0110548L;3;SAINTE-EULALIE;ECOLE ELEMENTAIRE PUBLIQUE L ESTAGNOL;2.0;43.246182362071586;2.208819972487918;elementaire;l estagnol;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE L ESTAGNOL;11340;SAINTE EULALIE;public;102.5
0110432K;3;NARBONNE;ECOLE ELEMENTAIRE PUBLIQUE LOUIS PASTEUR;10.0;43.18580816367599;3.021520011191748;elementaire;louis pasteur;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE LOUIS PASTEUR;11262;NARBONNE;public;106.0
0110781P;3;CARCASSONNE;ECOLE ELEMENTAIRE PUBLIQUE JEAN JAURES;10.0;43.21300273593227;2.3558791287629095;elementaire;jean jaures;2021-2022;MONTPELLIER;011;AUDE;ECOLE ELEMENTAIRE JEAN JAURES;11069;CARCASSONNE;public;86.4
0110434M;3;NARBONNE;ECOLE ELEMENTAIRE PUBLIQUE JEAN-JAURES;11.0;43.18371412692766;3.009109443173221;elementaire;jean-jaures;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE JEAN JAURES;11262;NARBONNE;public;87.5
0110833W;3;BARBAIRA;ECOLE PRIMAIRE PUBLIQUE;4.0;43.185523479013995;2.5111802341718334;primaire;non renseigné;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE;11027;BARBAIRA;public;95.8
0110435N;3;NARBONNE;ECOLE ELEMENTAIRE PUBLIQUE ANATOLE FRANCE;10.0;43.184712001822916;2.9971703818260576;elementaire;anatole france;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE ANATOLE FRANCE;11262;NARBONNE;public;87.4
0300274K;3;BLAUZAC;ECOLE PRIMAIRE PUBLIQUE PRE DE VALENCE;4.0;43.96477044819533;4.367658574901382;primaire;pre de valence;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE PRE DE VALENCE;30041;BLAUZAC;public;120.6
0110869K;3;SALLES-D'AUDE;ECOLE ELEMENTAIRE PUBLIQUE ANTOINE SIGNOLES;7.0;43.236566399586536;3.1208761822767417;elementaire;antoine signoles;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE ANTOINE SIGNOLES;11370;SALLES D AUDE;public;107.0
0480177G;3;CHANAC;ECOLE PRIMAIRE PUBLIQUE;6.0;44.465966633999464;3.3417395861705566;primaire;non renseigné;2021-2022;MONTPELLIER;048;LOZERE;ECOLE PRIMAIRE;48039;CHANAC;public;119.1
0110956E;3;COURSAN;ECOLE ELEMENTAIRE PUBLIQUE RICHARD CHAVERNAC;5.0;43.23212965003176;3.05496945245495;elementaire;richard chavernac;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE RICHARD CHAVERNAC;11106;COURSAN;public;93.8
0480213W;3;BOURGS SUR COLAGNE;ECOLE PRIMAIRE PUBLIQUE LE MONASTIER PIN MORIES;5.0;44.51580759186503;3.2570296304389763;primaire;le monastier pin mories;2021-2022;MONTPELLIER;048;LOZERE;ECOLE PRIMAIRE LE MONASTIER PIN MORIE;48099;BOURGS SUR COLAGNE;public;109.2
0300312B;3;CARNAS;ECOLE ELEMENTAIRE PUBLIQUE;2.0;43.824762024494795;3.9791968266665014;elementaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE;30069;CARNAS;public;118.3
0300730F;3;SAINT-HILAIRE-D'OZILHAN;ECOLE PRIMAIRE PUBLIQUE;6.0;43.97104804768153;4.589219727761225;primaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30260;SAINT HILAIRE D OZILHAN;public;122.7
0301623B;3;SUMENE;ECOLE PRIMAIRE PUBLIQUE;5.0;43.97913259471944;3.7171594896095317;primaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30325;SUMENE;public;111.5
0340175F;3;BAILLARGUES;ECOLE ELEMENTAIRE PUBLIQUE GEORGES BRASSENS;16.0;43.65933017216288;4.010760406929925;elementaire;georges brassens;2021-2022;MONTPELLIER;034;HERAULT;ECOLE ELEMENTAIRE GEORGES BRASSENS;34022;BAILLARGUES;public;108.7
0340303V;3;CLARET;ECOLE ELEMENTAIRE PUBLIQUE;5.0;43.86157629392939;3.904119382803758;elementaire;non renseigné;2021-2022;MONTPELLIER;034;HERAULT;ECOLE ELEMENTAIRE;34078;CLARET;public;117.3
0660187V;3;CATLLAR;ECOLE PRIMAIRE PUBLIQUE;4.0;42.634309435535194;2.4205297472703013;primaire;non renseigné;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE PRIMAIRE;66045;CATLLAR;public;109.5
0660309C;3;PERPIGNAN;ECOLE ELEMENTAIRE PUBLIQUE JEAN-JACQUES ROUSSEAU;10.0;42.69568045560845;2.88082012506819;elementaire;jean-jacques rousseau;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE JEAN JACQUES ROUSSEAU;66136;PERPIGNAN;public;68.9
0660604Y;3;CLAIRA;ECOLE ELEMENTAIRE PUBLIQUE YVES DUCES;12.0;42.76228445226482;2.9511095913076915;elementaire;yves duces;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE YVES DUCES;66050;CLAIRA;public;98.8
0660611F;3;SAILLAGOUSE;ECOLE ELEMENTAIRE PUBLIQUE;5.0;42.458952722696516;2.0387313782050387;elementaire;non renseigné;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE;66167;SAILLAGOUSE;public;106.7
0110127D;1;BRAM;ECOLE ELEMENTAIRE PUBLIQUE MARIE-JEANNE ESTEVENON;11.0;43.24141148533963;2.1102700119191184;elementaire;marie-jeanne estevenon;2021-2022;MONTPELLIER;011;AUDE;ECOLE ELEMENTAIRE MARIE JEANNE ESTEVENON;11049;BRAM;public;102.6
0110151E;1;CARCASSONNE;ECOLE ELEMENTAIRE PUBLIQUE ISLY;5.0;43.211767257005995;2.3397294140937444;elementaire;isly;2021-2022;MONTPELLIER;011;AUDE;ECOLE ELEMENTAIRE ISLY;11069;CARCASSONNE;public;110.8
0300385F;1;GARONS;ECOLE ELEMENTAIRE PUBLIQUE JEAN MONNET;13.0;43.76899583531827;4.427449932123998;elementaire;jean monnet;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE JEAN MONNET;30125;GARONS;public;108.1
0300726B;1;SAINT-HILAIRE-DE-BRETHMAS;ECOLE ELEMENTAIRE PUBLIQUE RENE DELEUZE;5.0;44.106671160101556;4.118830452018298;elementaire;rene deleuze;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE RENE DELEUZE;30259;SAINT HILAIRE DE BRETHMAS;public;106.7
0300813W;1;SALINDRES;ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL;9.0;44.171903087250264;4.160439440752092;elementaire;marcel pagnol;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE MARCEL PAGNOL;30305;SALINDRES;public;100.4
0342139R;1;FRONTIGNAN;ECOLE ELEMENTAIRE PUBLIQUE LES LAVANDINS;9.0;43.426521243168814;3.7303805173151354;elementaire;les lavandins;2021-2022;MONTPELLIER;034;HERAULT;ECOLE ELEMENTAIRE LES LAVANDINS;34108;FRONTIGNAN;public;101.5
0660800L;1;PERPIGNAN;ECOLE ELEMENTAIRE PUBLIQUE ANATOLE FRANCE;11.0;42.6899758271953;2.9003003271631105;elementaire;anatole france;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE ANATOLE FRANCE;66136;PERPIGNAN;public;75.3
0110285A;2;FENDEILLE;ECOLE PRIMAIRE PUBLIQUE;4.0;43.26884473399881;1.9426494925480462;primaire;non renseigné;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE;11138;FENDEILLE;public;104.6
0110793C;2;LUC-SUR-ORBIEU;ECOLE PRIMAIRE PUBLIQUE;6.0;43.175871342784774;2.786129552411656;primaire;non renseigné;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE;11210;LUC SUR ORBIEU;public;100.9
0300343K;2;COMPS;ECOLE PRIMAIRE PUBLIQUE ANDRE MASSIP;8.0;43.84919264005054;4.599689637225641;primaire;andre massip;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE ANDRE MASSIP;30089;COMPS;public;108.1
0300520C;2;MEJANNES-LES-ALES;ECOLE PRIMAIRE PUBLIQUE;6.0;44.097636696140434;4.152679565128648;primaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30165;MEJANNES LES ALES;public;117.8
0300566C;2;NIMES;ECOLE PRIMAIRE TOUR MAGNE;4.0;43.84403764209904;4.351579827721643;primaire;tour magne;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE TOUR MAGNE;30189;NIMES;public;137.8
0300613D;2;ORSAN;ECOLE PRIMAIRE PUBLIQUE;5.0;44.131497706614404;4.668820304973706;primaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30191;ORSAN;public;112.2
0300811U;2;SAINT-VICTOR-DE-MALCAP;ECOLE PRIMAIRE PUBLIQUE NADAL;4.0;44.244859838942425;4.2238903137752315;primaire;nadal;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE NADAL;30303;SAINT VICTOR DE MALCAP;public;100.3
0301197N;2;SAINT-CHRISTOL-LEZ-ALES;ECOLE ELEMENTAIRE PUBLIQUE JOLIOT-CURIE;9.0;44.08430438180869;4.0752775356611926;elementaire;joliot-curie;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE JOLIOT CURIE;30243;SAINT CHRISTOL LEZ ALES;public;101.0
0301265M;2;ALES;ECOLE PRIMAIRE MONTEE DE SILHOL;11.0;44.128577168130576;4.101567756637621;primaire;montee de silhol;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE MONTEE DE SILHOL;30007;ALES;public;105.6
0301276Z;2;NIMES;ECOLE ELEMENTAIRE PUBLIQUE ARMAND BARBES;8.0;43.83254221057075;4.346500088410288;elementaire;armand barbes;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE ARMAND BARBES;30189;NIMES;public;96.5
0301403M;2;LE CAILAR;ECOLE ELEMENTAIRE PUBLIQUE;6.0;43.676989461838026;4.236419940632585;elementaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE;30059;LE CAILAR;public;92.0
0301447K;2;LES MAGES;ECOLE PRIMAIRE PUBLIQUE JOLIOT-CURIE;8.0;44.229246412360546;4.165909530714557;primaire;joliot-curie;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE JOLIOT CURIE;30152;LES MAGES;public;101.1
0301514H;2;NIMES;ECOLE ELEMENTAIRE PUBLIQUE PAUL LANGEVIN;19.0;43.82241768526416;4.3385395119402785;elementaire;paul langevin;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE PAUL LANGEVIN;30189;NIMES;public;65.2
0301738B;2;ALES;ECOLE PRIMAIRE LE PANSERA;14.0;44.12479427331523;4.070639618108808;primaire;le pansera;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE LE PANSERA;30007;ALES;public;77.7
0340272L;2;CASTELNAU-LE-LEZ;ECOLE ELEMENTAIRE PUBLIQUE JEAN MOULIN;17.0;43.636708911685794;3.9162796230946197;elementaire;jean moulin;2021-2022;MONTPELLIER;034;HERAULT;ECOLE ELEMENTAIRE JEAN MOULIN;34057;CASTELNAU LE LEZ;public;118.1
0480206N;2;MENDE;ECOLE PRIMAIRE PUBLIQUE SIMONE VEIL;5.0;44.529651290761876;3.4501201292976837;primaire;simone veil;2021-2022;MONTPELLIER;048;LOZERE;ECOLE PRIMAIRE SIMONE VEIL;48095;MENDE;public;134.1
0660264D;2;BOMPAS;ECOLE ELEMENTAIRE PUBLIQUE FRANCOIS ARAGO;11.0;42.73240784433149;2.9329594410828586;elementaire;francois arago;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE FRANCOIS ARAGO;66021;BOMPAS;public;99.3
0660585C;2;TROUILLAS;ECOLE ELEMENTAIRE PUBLIQUE;6.0;42.606589182545065;2.812629819709286;elementaire;non renseigné;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE;66217;TROUILLAS;public;106.1
0110247J;3;COURSAN;ECOLE ELEMENTAIRE PUBLIQUE JEANNE MIQUEL;9.0;43.23209294002103;3.05973032623255;elementaire;jeanne miquel;2021-2022;MONTPELLIER;011;AUDE;ECOLE ELEMENTAIRE JEANNE MIQUEL;11106;COURSAN;public;98.4
0110427E;3;NARBONNE;ECOLE ELEMENTAIRE PUBLIQUE LAKANAL;5.0;43.188715377361014;3.00765967529263;elementaire;lakanal;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE LAKANAL;11262;NARBONNE;public;96.4
0301351F;3;NIMES;ECOLE ELEMENTAIRE PUBLIQUE PAUL MARCELIN;16.0;43.83049245045277;4.329289729116234;elementaire;paul marcelin;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE PAUL MARCELIN;30189;NIMES;public;68.0
0480253P;3;BALSIEGES;ECOLE PRIMAIRE PUBLIQUE DU LION;4.0;44.48728766333151;3.4606920867672644;primaire;du lion;2021-2022;MONTPELLIER;048;LOZERE;ECOLE PRIMAIRE DU LION;48016;BALSIEGES;public;117.6
0660393U;3;PEYRESTORTES;ECOLE ELEMENTAIRE PUBLIQUE SIMONE VEIL;5.0;42.75279339447031;2.8531025043645015;elementaire;simone veil;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE SIMONE VEIL;66138;PEYRESTORTES;public;101.5
