,Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS
85,2021-2022,MONTPELLIER,011,AUDE,0110003U,COLLEGE DE L ALARIC,11068,CAPENDU,public,96.3
86,2021-2022,MONTPELLIER,011,AUDE,0110011C,COLLEGE BLAISE D AURIOL,11076,CASTELNAUDARY,public,104.2
87,2021-2022,MONTPELLIER,011,AUDE,0110675Z,COLLEGE MICHEL BOUSQUIE,11304,QUILLAN,public,83.0
88,2021-2022,MONTPELLIER,011,AUDE,0110686L,COLLEGE JOSEPH ANGLADE,11203,LEZIGNAN CORBIERES,public,95.5
89,2021-2022,MONTPELLIER,011,AUDE,0110724C,COLLEGE DES CORBIERES MARITIMES,11379,SIGEAN,public,98.2
90,2021-2022,MONTPELLIER,011,AUDE,0110870L,COLLEGE ANTOINE PONS,11091,CHALABRE,public,98.2
91,2021-2022,MONTPELLIER,011,AUDE,0110896P,COLLEGE PRIVE JEANNE D ARC,11076,CASTELNAUDARY,privé sous contrat,118.2
299,2021-2022,MONTPELLIER,030,GARD,0300042H,COLLEGE MARCEAU LAPIERRE,30269,SAINT JEAN DU GARD,public,108.7
300,2021-2022,MONTPELLIER,030,GARD,0300050S,COLLEGE,30344,VERGEZE,public,105.4
301,2021-2022,MONTPELLIER,030,GARD,0300101X,COLLEGE PRIVE MAINTENON,30321,SOMMIERES,privé sous contrat,123.9
302,2021-2022,MONTPELLIER,030,GARD,0300141R,COLLEGE CONDORCET,30189,NIMES,public,62.1
303,2021-2022,MONTPELLIER,030,GARD,0300922P,COLLEGE PRIVE TAISSON,30007,ALES,privé sous contrat,117.6
304,2021-2022,MONTPELLIER,030,GARD,0301014P,COLLEGE DENIS DIDEROT,30007,ALES,public,88.2
305,2021-2022,MONTPELLIER,030,GARD,0301245R,COLLEGE LOU CASTELLAS,30156,MARGUERITTES,public,106.4
306,2021-2022,MONTPELLIER,030,GARD,0301356L,COLLEGE PRIVE EMMANUEL D ALZON,30189,NIMES,privé sous contrat,102.7
307,2021-2022,MONTPELLIER,030,GARD,0301656M,COLLEGE CLAUDIE HAIGNERE,30217,ROCHEFORT DU GARD,public,116.2
308,2021-2022,MONTPELLIER,030,GARD,0301670C,COLLEGE FREDERIC DESMONS,30255,SAINT GENIES DE MALGOIRES,public,104.2
309,2021-2022,MONTPELLIER,030,GARD,0301721H,COLLEGE JEAN LOUIS TRINTIGNANT,30334,UZES,public,108.2
310,2021-2022,MONTPELLIER,030,GARD,0301723K,COLLEGE THEODORE MONOD,30082,CLARENSAC,public,120.2
311,2021-2022,MONTPELLIER,030,GARD,0301751R,COLLEGE PRIVE EMMANUEL D ALZON,30133,LE GRAU DU ROI,privé sous contrat,114.9
312,2021-2022,MONTPELLIER,030,GARD,0301816L,COLLEGE CLAUDE CHAPPE,30123,GALLARGUES LE MONTUEUX,public,110.8
374,2021-2022,MONTPELLIER,034,HERAULT,0340025T,COLLEGE LES DEUX PINS,34108,FRONTIGNAN,public,95.2
375,2021-2022,MONTPELLIER,034,HERAULT,0340032A,COLLEGE LES ARBOURYS,34147,MAGALAS,public,106.4
376,2021-2022,MONTPELLIER,034,HERAULT,0340053Y,COLLEGE CROIX D ARGENT,34172,MONTPELLIER,public,88.2
377,2021-2022,MONTPELLIER,034,HERAULT,0340063J,COLLEGE LOUIS CAHUZAC,34226,QUARANTE,public,100.3
378,2021-2022,MONTPELLIER,034,HERAULT,0340070S,COLLEGE DU JAUR,34284,SAINT PONS DE THOMIERES,public,97.0
379,2021-2022,MONTPELLIER,034,HERAULT,0340110K,COLLEGE PIC SAINT LOUP,34247,SAINT CLEMENT DE RIVIERE,public,131.9
380,2021-2022,MONTPELLIER,034,HERAULT,0340111L,COLLEGE CLEMENCEAU,34172,MONTPELLIER,public,103.1
381,2021-2022,MONTPELLIER,034,HERAULT,0340117T,COLLEGE PAUL DARDE,34142,LODEVE,public,99.6
382,2021-2022,MONTPELLIER,034,HERAULT,0340119V,COLLEGE FERDINAND FABRE,34028,BEDARIEUX,public,94.4
383,2021-2022,MONTPELLIER,034,HERAULT,0340837A,COLLEGE JEAN BENE,34199,PEZENAS,public,101.1
384,2021-2022,MONTPELLIER,034,HERAULT,0340888F,COLLEGE PRIVE NOTRE DAME,34028,BEDARIEUX,privé sous contrat,91.9
385,2021-2022,MONTPELLIER,034,HERAULT,0340891J,COLLEGE PRIVE SAINTE MADELEINE,34032,BEZIERS,privé sous contrat,106.3
386,2021-2022,MONTPELLIER,034,HERAULT,0340896P,COLLEGE PRIVE LA PRESENTATION,34111,GANGES,privé sous contrat,99.4
387,2021-2022,MONTPELLIER,034,HERAULT,0340974Z,COLLEGE EMMANUEL MAFFRE BAUGE,34194,PAULHAN,public,109.4
388,2021-2022,MONTPELLIER,034,HERAULT,0341030K,COLLEGE CAMILLE CLAUDEL,34172,MONTPELLIER,public,127.1
389,2021-2022,MONTPELLIER,034,HERAULT,0341066Z,COLLEGE JEAN PERRIN,34032,BEZIERS,public,79.8
390,2021-2022,MONTPELLIER,034,HERAULT,0341276C,COLLEGE LOUIS GERMAIN,34270,SAINT JEAN DE VEDAS,public,111.3
391,2021-2022,MONTPELLIER,034,HERAULT,0341280G,COLLEGE LES PINS,34058,CASTRIES,public,123.7
392,2021-2022,MONTPELLIER,034,HERAULT,0341387Y,COLLEGE ALFRED CROUZET,34300,SERVIAN,public,106.0
393,2021-2022,MONTPELLIER,034,HERAULT,0341388Z,COLLEGE MARCEL PAGNOL,34299,SERIGNAN,public,102.1
394,2021-2022,MONTPELLIER,034,HERAULT,0341577E,COLLEGE LE BERANGE,34022,BAILLARGUES,public,115.4
395,2021-2022,MONTPELLIER,034,HERAULT,0342077Y,COLLEGE RAY CHARLES,34095,FABREGUES,public,117.2
396,2021-2022,MONTPELLIER,034,HERAULT,0342130F,COLLEGE PIERRE DELEY,34150,MARSEILLAN,public,91.4
397,2021-2022,MONTPELLIER,034,HERAULT,0342186S,COLLEGE MAX ROUQUETTE,34239,SAINT ANDRE DE SANGONIS,public,108.6
398,2021-2022,MONTPELLIER,034,HERAULT,0342326U,COLLEGE BOBY LAPOINTE,34237,ROUJAN,public,106.0
550,2021-2022,MONTPELLIER,048,LOZERE,0480006W,COLLEGE SPORT NATURE,48034,LA CANOURGUE,public,118.2
551,2021-2022,MONTPELLIER,048,LOZERE,0480015F,COLLEGE ACHILLE ROUSSON,48148,SAINT ETIENNE VALLEE FRANCAISE,public,111.3
552,2021-2022,MONTPELLIER,048,LOZERE,0480032Z,COLLEGE PRIVE SAINT PRIVAT,48095,MENDE,privé sous contrat,105.9
849,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660001T,COLLEGE DES ALBERES,66008,ARGELES SUR MER,public,96.6
850,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660007Z,COLLEGE IRENE JOLIOT CURIE,66071,ESTAGEL,public,100.2
851,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660019M,COLLEGE SAINT EXUPERY,66136,PERPIGNAN,public,76.5
852,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660022R,COLLEGE GUSTAVE VIOLET,66149,PRADES,public,100.2
853,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660634F,COLLEGE CLIMATIQUE ET SPORTIF,66124,FONT ROMEU ODEILLO VIA,public,114.4
854,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660648W,COLLEGE LA COTE RADIEUSE,66037,CANET EN ROUSSILLON,public,103.4
855,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660865G,COLLEGE PIERRE MENDES FRANCE,66168,SAINT ANDRE,public,109.9
1504,2021-2022,MONTPELLIER,011,AUDE,0110044N,COLLEGE PRIVE JEANNE D ARC,11069,CARCASSONNE,privé sous contrat,118.2
1505,2021-2022,MONTPELLIER,011,AUDE,0110665N,COLLEGE VARSOVIE,11069,CARCASSONNE,public,105.1
1506,2021-2022,MONTPELLIER,011,AUDE,0110674Y,COLLEGE GASTON BONHEUR,11397,TREBES,public,91.5
1507,2021-2022,MONTPELLIER,011,AUDE,0110810W,COLLEGE DE GRAZAILLES,11069,CARCASSONNE,public,87.7
1693,2021-2022,MONTPELLIER,030,GARD,0300032X,COLLEGE DE COUTACH,30210,QUISSAC,public,113.4
1694,2021-2022,MONTPELLIER,030,GARD,0300039E,COLLEGE DE LA GALABERTE,30263,SAINT HIPPOLYTE DU FORT,public,104.1
1695,2021-2022,MONTPELLIER,030,GARD,0300059B,COLLEGE JULES VERNE,30189,NIMES,public,71.9
1696,2021-2022,MONTPELLIER,030,GARD,0300088H,COLLEGE PRIVE SAINT JEAN,30028,BAGNOLS SUR CEZE,privé sous contrat,115.0
1697,2021-2022,MONTPELLIER,030,GARD,0300093N,COLLEGE PRIVE SAINT JEAN BAPTISTE DE LA SALLE,30189,NIMES,privé sous contrat,109.9
1698,2021-2022,MONTPELLIER,030,GARD,0300098U,COLLEGE PRIVE NOTRE DAME,30202,PONT SAINT ESPRIT,privé sous contrat,106.4
1699,2021-2022,MONTPELLIER,030,GARD,0300946R,COLLEGE REVOLUTION,30189,NIMES,public,114.5
1700,2021-2022,MONTPELLIER,030,GARD,0301213F,COLLEGE PAUL VALERY,30221,ROQUEMAURE,public,106.2
1701,2021-2022,MONTPELLIER,030,GARD,0301746K,COLLEGE VIA DOMITIA,30155,MANDUEL,public,104.2
1702,2021-2022,MONTPELLIER,030,GARD,0301747L,COLLEGE,30146,LEDIGNAN,public,99.6
1752,2021-2022,MONTPELLIER,034,HERAULT,0340021N,COLLEGE JULES FERRY,34069,CAZOULS LES BEZIERS,public,98.8
1753,2021-2022,MONTPELLIER,034,HERAULT,0340048T,COLLEGE CLEMENCE ROYER,34172,MONTPELLIER,public,111.4
1754,2021-2022,MONTPELLIER,034,HERAULT,0340869K,COLLEGE PRIVE PIC LA SALLE (PRIVE IMMACULEE CONCEPTION),34032,BEZIERS,privé sous contrat,124.6
1755,2021-2022,MONTPELLIER,034,HERAULT,0340872N,COLLEGE PRIVE FENELON,34032,BEZIERS,privé sous contrat,113.8
1756,2021-2022,MONTPELLIER,034,HERAULT,0340908C,COLLEGE PRIVE SAINT CHARLES,34259,SAINT GEORGES D ORQUES,privé sous contrat,123.7
1757,2021-2022,MONTPELLIER,034,HERAULT,0340998A,COLLEGE JEU DE MAIL,34172,MONTPELLIER,public,94.3
1758,2021-2022,MONTPELLIER,034,HERAULT,0341028H,COLLEGE GEORGES BRASSENS,34129,LATTES,public,114.2
1759,2021-2022,MONTPELLIER,034,HERAULT,0341367B,COLLEGE PAUL BERT,34052,CAPESTANG,public,104.6
1760,2021-2022,MONTPELLIER,034,HERAULT,0341656R,COLLEGE PHILIPPE LAMOUR,34344,LA GRANDE MOTTE,public,110.1
1761,2021-2022,MONTPELLIER,034,HERAULT,0341726S,COLLEGE PRIVE NAZARETH,34172,MONTPELLIER,privé sous contrat,75.2
1762,2021-2022,MONTPELLIER,034,HERAULT,0341825Z,COLLEGE AMBRUSSUM,34145,LUNEL,public,107.6
1763,2021-2022,MONTPELLIER,034,HERAULT,0342012C,COLLEGI CALANDRETA LEON CORDAS (COLLEGE PRIVE),34172,MONTPELLIER,privé sous contrat,123.1
1764,2021-2022,MONTPELLIER,034,HERAULT,0342036D,COLLEGE PIERRE MENDES FRANCE,34120,JACOU,public,129.2
1765,2021-2022,MONTPELLIER,034,HERAULT,0342078Z,COLLEGE DES SALINS,34337,VILLENEUVE LES MAGUELONE,public,108.4
1766,2021-2022,MONTPELLIER,034,HERAULT,0342147Z,COLLEGE PRIVE BEIT CHALOM,34172,MONTPELLIER,privé sous contrat,72.3
1945,2021-2022,MONTPELLIER,048,LOZERE,0480001R,COLLEGE HENRI ROUVIERE,48027,MONT LOZERE ET GOULET,public,105.5
1946,2021-2022,MONTPELLIER,048,LOZERE,0480002S,COLLEGE HENRI GAMALA,48051,LE COLLET DE DEZE,public,105.1
1947,2021-2022,MONTPELLIER,048,LOZERE,0480003T,COLLEGE DES TROIS VALLEES,48061,FLORAC TROIS RIVIERES,public,106.8
1948,2021-2022,MONTPELLIER,048,LOZERE,0480034B,COLLEGE PRIVE SAINTE MARIE,48096,MEYRUEIS,privé sous contrat,101.7
1949,2021-2022,MONTPELLIER,048,LOZERE,0480038F,COLLEGE PRIVE SACRE COEUR,48140,SAINT CHELY D APCHER,privé sous contrat,105.3
2203,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660008A,COLLEGE PIERRE FOUCHE,66088,ILLE SUR TET,public,98.8
2204,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660012E,COLLEGE JOSEPH SEBASTIEN PONS,66136,PERPIGNAN,public,63.8
2205,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660030Z,COLLEGE PIERRE MORETO,66210,THUIR,public,101.5
2206,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660049V,COLLEGE JEAN MOULIN,66136,PERPIGNAN,public,98.6
2207,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660068R,COLLEGE PRIVE SAINT JOSEPH,66149,PRADES,privé sous contrat,95.4
2208,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660601V,COLLEGE JEAN AMADE,66049,CERET,public,103.4
2209,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660866H,COLLEGE JEAN ROUS,66141,PIA,public,87.9
2210,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660925X,COLLEGE CHRISTIAN BOURQUIN,66108,MILLAS,public,102.8
2901,2021-2022,MONTPELLIER,011,AUDE,0110015G,COLLEGE JEAN BAPTISTE BIEULES,11103,COUIZA,public,90.2
2902,2021-2022,MONTPELLIER,011,AUDE,0110025T,COLLEGE CITE,11262,NARBONNE,public,108.3
2903,2021-2022,MONTPELLIER,011,AUDE,0110067N,COLLEGE LES MAILHEULS,11106,COURSAN,public,103.9
2904,2021-2022,MONTPELLIER,011,AUDE,0110825M,COLLEGE LES FONTANILLES,11076,CASTELNAUDARY,public,94.0
2905,2021-2022,MONTPELLIER,011,AUDE,0110859Z,COLLEGE JOSEPH DELTEIL,11206,LIMOUX,public,98.3
2906,2021-2022,MONTPELLIER,011,AUDE,0111015U,COLLEGE MARCELIN ALBERT,11360,SAINT NAZAIRE D AUDE,public,100.4
2907,2021-2022,MONTPELLIER,011,AUDE,0111051H,COLLEGE ROSA PARKS,11203,LEZIGNAN CORBIERES,public,92.5
3136,2021-2022,MONTPELLIER,030,GARD,0300006U,COLLEGE FLORIAN,30010,ANDUZE,public,104.8
3137,2021-2022,MONTPELLIER,030,GARD,0300025P,COLLEGE ROMAIN ROLLAND,30189,NIMES,public,56.4
3138,2021-2022,MONTPELLIER,030,GARD,0300033Y,COLLEGE VOLTAIRE,30212,REMOULINS,public,113.1
3139,2021-2022,MONTPELLIER,030,GARD,0300062E,COLLEGE CAPOUCHINE,30189,NIMES,public,78.1
3140,2021-2022,MONTPELLIER,030,GARD,0300085E,COLLEGE PRIVE SANCTA MARIA,30351,VILLENEUVE LES AVIGNON,privé sous contrat,119.6
3141,2021-2022,MONTPELLIER,030,GARD,0300091L,COLLEGE PRIVE,30132,LA GRAND COMBE,privé sous contrat,74.7
3142,2021-2022,MONTPELLIER,030,GARD,0300099V,COLLEGE PRIVE SAINT JOSEPH,30227,SAINT AMBROIX,privé sous contrat,96.9
3143,2021-2022,MONTPELLIER,030,GARD,0300945P,COLLEGE FEUCHERES,30189,NIMES,public,87.5
3144,2021-2022,MONTPELLIER,030,GARD,0301010K,COLLEGE ADA LOVELACE,30189,NIMES,public,81.9
3145,2021-2022,MONTPELLIER,030,GARD,0301098F,COLLEGE LES OLIVIERS,30189,NIMES,public,79.7
3146,2021-2022,MONTPELLIER,030,GARD,0301208A,COLLEGE EUGENE VIGNE,30032,BEAUCAIRE,public,82.3
3147,2021-2022,MONTPELLIER,030,GARD,0301214G,COLLEGE DU MOURION,30351,VILLENEUVE LES AVIGNON,public,124.8
3148,2021-2022,MONTPELLIER,030,GARD,0301232B,COLLEGE GASTON DOUMERGUE,30321,SOMMIERES,public,113.4
3149,2021-2022,MONTPELLIER,030,GARD,0301325C,COLLEGE HENRI PITOT,30012,ARAMON,public,105.1
3150,2021-2022,MONTPELLIER,030,GARD,0301326D,COLLEGE ANDRE CHAMSON,30350,LE VIGAN,public,94.9
3151,2021-2022,MONTPELLIER,030,GARD,0301827Y,COLLEGE FEDERICO GARCIA LORCA,30034,BELLEGARDE,public,104.5
3218,2021-2022,MONTPELLIER,034,HERAULT,0340016H,COLLEGE LA DULLAGUE,34032,BEZIERS,public,78.0
3219,2021-2022,MONTPELLIER,034,HERAULT,0340051W,COLLEGE FONTCARRADE,34172,MONTPELLIER,public,86.4
3220,2021-2022,MONTPELLIER,034,HERAULT,0340065L,COLLEGE JEAN JAURES,34245,SAINT CHINIAN,public,95.2
3221,2021-2022,MONTPELLIER,034,HERAULT,0340118U,COLLEGE HENRI IV,34032,BEZIERS,public,71.3
3222,2021-2022,MONTPELLIER,034,HERAULT,0340874R,COLLEGE PRIVE L ASSOMPTION,34172,MONTPELLIER,privé sous contrat,138.5
3223,2021-2022,MONTPELLIER,034,HERAULT,0340876T,COLLEGE PRIVE SAINT FRANCOIS REGIS,34172,MONTPELLIER,privé sous contrat,136.6
3224,2021-2022,MONTPELLIER,034,HERAULT,0340893L,COLLEGE PRIVE SAINT GUILHEM,34079,CLERMONT L HERAULT,privé sous contrat,116.0
3225,2021-2022,MONTPELLIER,034,HERAULT,0340894M,COLLEGE PRIVE SAINTE THERESE LA SALLE,34108,FRONTIGNAN,privé sous contrat,111.0
3226,2021-2022,MONTPELLIER,034,HERAULT,0340897R,COLLEGE PRIVE SAINTE THERESE,34145,LUNEL,privé sous contrat,115.3
