,Année,RNE,Nom établissement,Localité,Département,Label,Position
5,2017,0301284H,Collège Jean Rostand,Nîmes,30,3,"43.8453349382, 4.3436104753"
181,2017,0110025T,Collège Cité,Narbonne,11,2,"43.1871871048, 3.00827041122"
182,2017,0110667R,Collège Pierre et Marie Curie,Rieux-Minervois,11,2,"43.2816347265, 2.58131002347"
185,2017,0300013B,Collège Le Castellas,Bessèges,30,2,"44.2934511404, 4.09540034382"
186,2017,0300032X,Collège de Coutach,Quissac,30,2,"43.9134526084, 3.99461994587"
193,2017,0301721H,Collège Jean Louis Trintignant,Uzès,30,2,"44.028519592, 4.41477035441"
194,2017,0340024S,Collège Voltaire,Florensac,34,2,"43.386879459, 3.46471973603"
599,2017,0301746K,Collège Via Domitia,Manduel,30,1,"43.8180264011, 4.48825017339"
606,2017,0340974Z,Collège Emmanuel Maffre Baugé,Paulhan,34,1,"43.5407317335, 3.45764059763"
600,2017,0301747L,Collège,Lédignan,30,1,"43.9840086522, 4.10706037412"
602,2017,0340065L,Collège Jean Jaurès,Saint-Chinian,34,1,"43.4232909976, 2.9514600811"
597,2017,0301282F,Collège Elsa Triolet,Beaucaire,30,1,"43.8104670616, 4.62201018325"
417,2017,0660523K,Collège Paul Langevin,Elne,66,1,"42.6133158471, 2.9781896986"
595,2017,0301014P,Collège Denis Diderot,Alès,30,2,"44.1328062981, 4.07873052994"
798,2017,0300947S,Collège Alphonse Daudet,Alès,30,1,"44.1352924236, 4.08584945806"
7,2017,0340053Y,Collège Croix d'Argent,Montpellier,34,3,"43.5901236713, 3.86672053586"
591,2017,0300016E,Collège de la Regordane,Génolhac,30,2,"44.3495919152, 3.94858022887"
601,2017,0301827Y,Collège Federico Garcia Lorca,Bellegarde,30,1,"43.7507318849, 4.49710961267"
415,2017,0480006W,Collège Sport Nature,La Canourgue,48,1,"44.4304664308, 3.21929027799"
588,2017,0110068P,Collège Georges Brassens,Narbonne,11,3,"43.1861949153, 2.97425005916"
199,2017,0340955D,Collège Simone Veil,Montpellier,34,2,"43.6180403594, 3.84792979907"
14,2017,0341870Y,Collège Marie Curie,Pignan,34,2,"43.5795881698, 3.76382057356"
13,2017,0341825Z,Collège Ambrussum,Lunel,34,2,"43.6876054742, 4.13410022864"
589,2017,0110672W,Collège Jules Verne,Carcassonne,11,1,"43.2174450571, 2.35158998458"
11,2017,0341424N,Collège Louise Michel,Ganges,34,2,"43.9366236246, 3.7052504937"
607,2017,0341364Y,Collège Gérard Philipe,Montpellier,34,3,"43.5973433958, 3.88440958533"
8,2017,0340996Y,Collège les Escholiers de la Mosson,Montpellier,34,2,"43.6337390636, 3.82164956652"
3,2017,0300031W,Collège George Ville,Pont-Saint-Esprit,30,2,"44.2562769196, 4.64588054318"
2,2017,0111051H,Collège Rosa Parks,Lézignan-Corbières,11,2,"43.184518864, 2.7595799942"
590,2017,0110725D,Collège la Nadière,Port-la-Nouvelle,11,3,"43.0152938287, 3.0473402655"
200,2017,0341065Y,Collège Jean Moulin,Sète,34,2,"43.4153654872, 3.67108004392"
215,2017,0660864F,Collège François Mitterrand,Toulouges,66,2,"42.6654908741, 2.8406905042"
213,2017,0660522J,Collège Marcel Pagnol,Perpignan,66,2,"42.7121514378, 2.88187030741"
593,2017,0300037C,Collège Jean Vilar,Saint-Gilles,30,1,"43.6857190477, 4.43333951677"
210,2017,0660019M,Collège Saint Exupéry,Perpignan,66,2,"42.6809404657, 2.90278705816"
209,2017,0660018L,Collège Madame de Sévigné,Perpignan,66,2,"42.6842308397, 2.88608980902"
208,2017,0660016J,Collège la Garrigole,Perpignan,66,2,"42.6948472397, 2.86727657243"
207,2017,0480017H,Collège Odilon Barrot,Villefort,48,2,"44.4409467285, 3.92705994902"
592,2017,0300033Y,Collège Voltaire,Remoulins,30,2,"43.9391477432, 4.57085010929"
594,2017,0300946R,Collège Révolution,Nîmes,30,2,"43.8411277221, 4.35535964864"
596,2017,0301232B,Collège Gaston Doumergue,Sommières,30,2,"43.7847374416, 4.08325039108"
598,2017,0301327E,Collège Gérard Philipe,Bagnols-sur-Cèze,30,2,"44.1618283977, 4.61622996246"
15,2017,0342052W,Collège Simone de Beauvoir,Frontignan,34,1,"43.4295170364, 3.73652058744"
810,2017,0660521H,Collège Pablo Casals,Cabestany,66,2,"42.6764094572, 2.94332002109"
12,2017,0341577E,Collège Le Bérange,Baillargues,34,1,"43.6670767331, 4.02226955004"
808,2017,0660431K,Collège Le Riberal,Saint-Estève,66,2,"42.7086982816, 2.83931047208"
806,2017,0480015F,Collège Achille Rousson,Saint-Étienne-Vallée-Française,48,2,"44.1664542311, 3.84200964175"
0,2017,0110686L,Collège Joseph Anglade,Lézignan-Corbières,11,2,"43.196809464, 2.76527043622"
6,2017,0340021N,Collège Jules Ferry,Cazouls-lès-Béziers,34,1,"43.3898154424, 3.1016801846"
809,2017,0660480N,Collège Jean Moulin,Arles-sur-Tech,66,1,"42.4571318685, 2.63197039146"
1,2017,0110870L,Collège Antoine Pons,Chalabre,11,1,"42.9851089045, 2.00497993951"
9,2017,0341363X,Collège de la Voie Domitienne,Le Crès,34,1,"43.6479920098, 3.93101951031"
20,2017,0660029Y,Collège Joseph Calvet,Saint-Paul-de-Fenouillet,66,1,"42.8087998589, 2.50565044347"
807,2017,0660049V,Collège Jean Moulin,Perpignan,66,1,"42.6969467289, 2.899559487"
805,2017,0342132H,Collège Lucie Aubrac,Béziers,34,1,"43.3520086228, 3.22177048855"
419,2017,0660648W,Collège la Côte Radieuse,Canet-en-Roussillon,66,1,"42.7051558749, 2.99772032008"
413,2017,0480002S,Collège Henri Gamala,Le Collet-de-Dèze,48,3,"44.2458831779, 3.91986047952"
418,2017,0660601V,Collège Jean Amade,Céret,66,3,"42.4868710371, 2.75436022644"
811,2017,0660865G,Collège Pierre Mendès France,Saint-André,66,1,"42.5541189497, 2.96351977326"
17,2017,0480004U,Collège Marthe Dupeyron,Langogne,48,1,"44.7235510008, 3.85283017106"
19,2017,0660028X,Collège Jean Mermoz,Saint-Laurent-de-la-Salanque,66,2,"42.7715648368, 2.98475020405"
18,2017,0480014E,Collège UPP Pierre delmas,Sainte-Enimie,48,1,"44.3669528713, 3.41120962813"
803,2017,0341826A,Collège François Mitterrand,Clapiers,34,2,"43.6530326337, 3.8955996619"
795,2017,0110810W,Collège de Grazailles,Carcassonne,11,1,"43.2243470524, 2.35215950467"
793,2017,0110676A,Collège Saint Exupéry,Bram,11,1,"43.2391799899, 2.11086056286"
603,2017,0340086J,Collège Frédéric Bazille,Castelnau-le-Lez,34,2,"43.6339667949, 3.90880976798"
604,2017,0340110K,Collège Pic Saint Loup,Saint-Clément-de-Rivière,34,2,"43.6817773311, 3.84701056038"
605,2017,0340973Y,Collège Jean Jaurès,Mèze,34,2,"43.4266806349, 3.60220978092"
609,2017,0341764H,Collège François Villon,Saint-Gély-du-Fesc,34,2,"43.6926718053, 3.79933962463"
610,2017,0342224H,Collège Olympe de Gouges,Loupian,34,2,"43.4477739876, 3.6074897953"
611,2017,0342326U,Collège Boby Lapointe,Roujan,34,2,"43.505481603, 3.31503938511"
612,2017,0660008A,Collège Pierre Fouché,Ille-sur-Têt,66,2,"42.6674347127, 2.61739054467"
613,2017,0660038H,Collège de la Côte Vermeille,Port-Vendres,66,2,"42.520036821, 3.10255948226"
614,2017,0660848N,Collège Alice et Jean Olibo,Saint-Cyprien,66,2,"42.6230964794, 3.00866033295"
801,2017,0340032A,Collège les Arbourys,Magalas,34,2,"43.4705426287, 3.22338016058"
800,2017,0301246S,Collège la Gardonnenque,Brignon,30,2,"43.974322734, 4.21295996157"
799,2017,0301213F,Collège Paul Valéry,Roquemaure,30,2,"44.0480398242, 4.78033053981"
797,2017,0300929X,Collège du Mont Duplan,Nîmes,30,2,"43.8433058201, 4.36424053265"
796,2017,0111015U,Collège Marcelin Albert,Saint-Nazaire-d'Aude,11,2,"43.2557196651, 2.90897034676"
802,2017,0341421K,Collège Joffre,Montpellier,34,2,"43.6117701665, 3.88673979066"
791,2017,0110003U,Collège de l'Alaric,Capendu,11,1,"43.1859084897, 2.56341995244"
21,2017,0660030Z,Collège Pierre Moréto,Thuir,66,2,"42.6336129412, 2.7594402717"
212,2017,0660051X,Collège Albert Camus,Perpignan,66,2,"42.6911542142, 2.9090199574"
407,2017,0341030K,Collège Camille Claudel,Montpellier,34,2,"43.6165476424, 3.86244060701"
188,2017,0300043J,Collège Jean Baptiste Dumas,Salindres,30,1,"44.1664128318, 4.16061997374"
190,2017,0301013N,Collège Jean Moulin,Alès,30,1,"44.13184497, 4.07762997317"
409,2017,0341321B,Collège Katia et Maurice Krafft,Béziers,34,1,"43.3368266518, 3.249580225"
410,2017,0341367B,Collège Paul Bert,Capestang,34,1,"43.329458695, 3.04042023675"
411,2017,0342077Y,Collège Ray Charles,Fabrègues,34,1,"43.5608737832, 3.78969007423"
396,2017,0110665N,Collège Varsovie,Carcassonne,11,1,"43.2137760413, 2.34773990008"
195,2017,0340031Z,Collège Frédéric Mistral,Lunel,34,1,"43.6719380834, 4.12396000143"
4,2017,0301010K,Collège Jules Vallès,Nîmes,30,3,"43.8588460926, 4.39110910066"
206,2017,0480016G,Collège du Trenze,Vialas,48,1,"44.3331989353, 3.89597048145"
204,2017,0480005V,Collège Marcel Pierrel,Marvejols,48,3,"44.5569078111, 3.29316011116"
203,2017,0342036D,Collège Pierre Mendès France,Jacou,34,3,"43.6671893915, 3.91074972156"
187,2017,0300039E,Collège de la Galaberte,Saint-Hippolyte-du-Fort,30,3,"43.9631396836, 3.85859982594"
202,2017,0341366A,Collège du Salagou,Clermont-l'Hérault,34,3,"43.6341692684, 3.43125035714"
414,2017,0480003T,Collège des Trois Vallées,Florac,48,2,"44.3219028103, 3.59757997599"
197,2017,0340051W,Collège Fontcarrade,Montpellier,34,3,"43.6075877251, 3.85417007214"
804,2017,0342076X,Collège de la Petite Camargue,Lansargues,34,3,"43.6548701317, 4.08186989454"
196,2017,0340034C,Collège Roger Contrepas,Marsillargues,34,1,"43.6674224763, 4.17421008"
395,2017,0110021N,Collège Victor Hugo,Narbonne,11,1,"43.1878051934, 3.00615001634"
198,2017,0340119V,Collège Ferdinand Fabre,Bédarieux,34,1,"43.6109247059, 3.15462945714"
412,2017,0480001R,Collège Henri Rouvière,Le Bleymard,48,3,"44.4893577861, 3.73783029606"
405,2017,0340109J,Collège les Garrigues,Montpellier,34,3,"43.6426440098, 3.8170897104"
183,2017,0110675Z,Collège Michel Bousquié,Quillan,11,1,"42.876164008, 2.17579041988"
400,2017,0300059B,Collège Jules Verne,Nîmes,30,3,"43.8296391511, 4.34296054205"
397,2017,0110666P,Collège Le Bastion,Carcassonne,11,2,"43.2164456747, 2.34890030778"
401,2017,0301098F,Collège les Oliviers,Nîmes,30,2,"43.8339248311, 4.38472962159"
189,2017,0300141R,Collège Condorcet,Nîmes,30,3,"43.8276608398, 4.33614977357"
214,2017,0660653B,Collège Jules Verne,Le Soler,66,1,"42.6788324315, 2.78077044178"
211,2017,0660022R,Collège Gustave Violet,Prades,66,3,"42.619996072, 2.41849051273"
408,2017,0341280G,Collège les Pins,Castries,34,1,"43.6830372278, 3.98875955951"
416,2017,0660037G,Collège Joffre,Rivesaltes,66,2,"42.767749446, 2.87938008707"
201,2017,0341278E,Collège Arthur Rimbaud,Montpellier,34,1,"43.6166769762, 3.82158973055"
16,2017,0342266D,Collège Françoise Combes,Montpellier,34,2,"43.6205154588, 3.8785601443"
608,2017,0341388Z,Collège Marcel Pagnol,Sérignan,34,3,"43.2761956341, 3.27145043447"
406,2017,0340111L,Collège Clémenceau,Montpellier,34,2,"43.6021807686, 3.8731804287"
10,2017,0341368C,Collège de l'Étang de l'Or,Mauguio,34,3,"43.6126507357, 4.00806047562"
403,2017,0301326D,Collège André Chamson,Le Vigan,30,1,"43.989870598, 3.60065939066"
404,2017,0301671D,Collège Le Vignet,Calvisson,30,1,"43.7831648894, 4.20125983579"
192,2017,0301209B,Collège les Fontaines,Bouillargues,30,1,"43.8003340623, 4.43454976935"
184,2017,0110859Z,Collège Joseph Delteil,Limoux,11,1,"43.0641830596, 2.21530968734"
399,2017,0110788X,Collège Montesquieu,Narbonne,11,1,"43.1934084556, 3.01872967957"
398,2017,0110674Y,Collège Gaston Bonheur,Trèbes,11,1,"43.2096146282, 2.45349998889"
205,2017,0480013D,Collège Haut Gévaudan,Saint-Chély-d'Apcher,48,3,"44.8073524329, 3.26968062011"
420,2017,0660866H,Collège Jean Rous,Pia,66,2,"42.7401372813, 2.92554017198"
402,2017,0301245R,Collège Lou Castellas,Marguerittes,30,2,"43.8643880293, 4.44129998288"
794,2017,0110724C,Collège des Corbières Maritimes,Sigean,11,3,"43.023961596, 2.98093039251"
792,2017,0110015G,Collège Jean Baptiste Bieules,Couiza,11,3,"42.9407637127, 2.25507021071"
421,2017,0660925X,Collège Christian Bourquin,Millas,66,2,"42.6864276173, 2.68759941973"
191,2017,0301094B,Collège Diderot,Nîmes,30,3,"43.828013771733, 4.3289175540409"
438,2018,0342131G,Collège François Rabelais,Montpellier,34,2,"43.6260229991, 3.83347044839"
845,2018,0660037G,Collège Joffre,Rivesaltes,66,3,"42.767749446, 2.87938008707"
837,2018,0342076X,Collège de la Petite Camargue,Lansargues,34,3,"43.6548701317, 4.08186989454"
842,2018,0480013D,Collège Haut Gévaudan,Saint-Chély-d'Apcher,48,3,"44.8073524329, 3.26968062011"
816,2018,0111051H,Collège Rosa Parks,Lézignan-Corbières,11,3,"43.184518864, 2.7595799942"
840,2018,0480002S,Collège Henri Gamala,Le Collet-de-Dèze,48,3,"44.2458831779, 3.91986047952"
835,2018,0341826A,Collège François Mitterrand,Clapiers,34,2,"43.6530326337, 3.8955996619"
616,2018,0110665N,Collège Varsovie,Carcassonne,11,2,"43.2137760413, 2.34773990008"
618,2018,0300016E,Collège de la Regordane,Génolhac,30,2,"44.3495919152, 3.94858022887"
822,2018,0301284H,Collège Jean Rostand,Nîmes,30,2,"43.8453349382, 4.3436104753"
839,2018,0342326U,Collège Boby Lapointe,Roujan,34,3,"43.505481603, 3.31503938511"
32,2018,0301014P,Collège Denis Diderot,Alès,30,2,"44.1328062981, 4.07873052994"
819,2018,0301012M,Collège Léo Larguier,La Grand-Combe,30,2,"44.2101391558, 4.03036051229"
436,2018,0342036D,Collège Pierre Mendès France,Jacou,34,1,"43.6671893915, 3.91074972156"
434,2018,0341388Z,Collège Marcel Pagnol,Sérignan,34,1,"43.2761956341, 3.27145043447"
433,2018,0341277D,Collège les Aiguerelles,Montpellier,34,1,"43.5975367249, 3.89212977987"
25,2018,0110725D,Collège la Nadière,Port-la-Nouvelle,11,3,"43.0152938287, 3.0473402655"
431,2018,0340021N,Collège Jules Ferry,Cazouls-lès-Béziers,34,1,"43.3898154424, 3.1016801846"
430,2018,0301671D,Collège Le Vignet,Calvisson,30,1,"43.7831648894, 4.20125983579"
814,2018,0110788X,Collège Montesquieu,Narbonne,11,1,"43.1934084556, 3.01872967957"
422,2018,0300006U,Collège Florian,Anduze,30,1,"44.053275465, 3.98381045633"
30,2018,0300929X,Collège du Mont Duplan,Nîmes,30,3,"43.8433058201, 4.36424053265"
426,2018,0300062E,Collège Capouchiné,Nîmes,30,1,"43.8224816364, 4.35695996915"
425,2018,0300033Y,Collège Voltaire,Remoulins,30,1,"43.9391477432, 4.57085010929"
34,2018,0301232B,Collège Gaston Doumergue,Sommières,30,3,"43.7847374416, 4.08325039108"
441,2018,0660012E,Collège Joseph Sébastien Pons,Perpignan,66,1,"42.7197414277, 2.89175023197"
821,2018,0301213F,Collège Paul Valéry,Roquemaure,30,2,"44.0480398242, 4.78033053981"
820,2018,0301096D,Collège la Vallée Verte,Vauvert,30,1,"43.6876211755, 4.27148012771"
818,2018,0300042H,Collège Marceau Lapierre,Saint-Jean-du-Gard,30,1,"44.1089710382, 3.88933994461"
439,2018,0342186S,Collège Max Rouquette,Saint-André-de-Sangonis,34,1,"43.6546699449, 3.49792022235"
42,2018,0341366A,Collège du Salagou,Clermont-l'Hérault,34,3,"43.6341692684, 3.43125035714"
55,2018,0660925X,Collège Christian Bourquin,Millas,66,3,"42.6864276173, 2.68759941973"
423,2018,0300013B,Collège Le Castellas,Bessèges,30,1,"44.2934511404, 4.09540034382"
817,2018,0300039E,Collège de la Galaberte,Saint-Hippolyte-du-Fort,30,1,"43.9631396836, 3.85859982594"
234,2018,0340053Y,Collège Croix d'Argent,Montpellier,34,3,"43.5901236713, 3.86672053586"
437,2018,0342130F,Collège Pierre Deley,Marseillan,34,1,"43.3636032312, 3.52046025283"
241,2018,0341368C,Collège de l'Étang de l'Or,Mauguio,34,3,"43.6126507357, 4.00806047562"
812,2018,0110025T,Collège Cité,Narbonne,11,2,"43.1871871048, 3.00827041122"
247,2018,0480001R,Collège Henri Rouvière,Le Bleymard,48,3,"44.4893577861, 3.73783029606"
815,2018,0111015U,Collège Marcelin Albert,Saint-Nazaire-d'Aude,11,2,"43.2557196651, 2.90897034676"
254,2018,0660601V,Collège Jean Amade,Céret,66,3,"42.4868710371, 2.75436022644"
38,2018,0340051W,Collège Fontcarrade,Montpellier,34,3,"43.6075877251, 3.85417007214"
813,2018,0110676A,Collège Saint Exupéry,Bram,11,2,"43.2391799899, 2.11086056286"
631,2018,0341321B,Collège Katia et Maurice Krafft,Béziers,34,2,"43.3368266518, 3.249580225"
427,2018,0300141R,Collège Condorcet,Nîmes,30,2,"43.8276608398, 4.33614977357"
424,2018,0300020J,Collège Antoine Deparcieux,Le Martinet,30,1,"44.252830676, 4.08464044227"
243,2018,0341825Z,Collège Ambrussum,Lunel,34,2,"43.6876054742, 4.13410022864"
636,2018,0480005V,Collège Marcel Pierrel,Marvejols,48,3,"44.5569078111, 3.29316011116"
217,2018,0110021N,Collège Victor Hugo,Narbonne,11,2,"43.1878051934, 3.00615001634"
221,2018,0110675Z,Collège Michel Bousquié,Quillan,11,2,"42.876164008, 2.17579041988"
222,2018,0110686L,Collège Joseph Anglade,Lézignan-Corbières,11,2,"43.196809464, 2.76527043622"
227,2018,0300043J,Collège Jean Baptiste Dumas,Salindres,30,2,"44.1664128318, 4.16061997374"
228,2018,0300946R,Collège Révolution,Nîmes,30,2,"43.8411277221, 4.35535964864"
229,2018,0301013N,Collège Jean Moulin,Alès,30,2,"44.13184497, 4.07762997317"
230,2018,0301214G,Collège du Mourion,Villeneuve-lès-Avignon,30,2,"43.9762220762, 4.78356042514"
220,2018,0110666P,Collège Le Bastion,Carcassonne,11,2,"43.2164456747, 2.34890030778"
54,2018,0660866H,Collège Jean Rous,Pia,66,2,"42.7401372813, 2.92554017198"
52,2018,0660648W,Collège la Côte Radieuse,Canet-en-Roussillon,66,2,"42.7051558749, 2.99772032008"
51,2018,0660038H,Collège de la Côte Vermeille,Port-Vendres,66,2,"42.520036821, 3.10255948226"
50,2018,0660030Z,Collège Pierre Moréto,Thuir,66,2,"42.6336129412, 2.7594402717"
48,2018,0480015F,Collège Achille Rousson,Saint-Étienne-Vallée-Française,48,2,"44.1664542311, 3.84200964175"
47,2018,0480003T,Collège des Trois Vallées,Florac,48,2,"44.3219028103, 3.59757997599"
46,2018,0341870Y,Collège Marie Curie,Pignan,34,2,"43.5795881698, 3.76382057356"
43,2018,0341367B,Collège Paul Bert,Capestang,34,2,"43.329458695, 3.04042023675"
39,2018,0340109J,Collège les Garrigues,Montpellier,34,2,"43.6426440098, 3.8170897104"
633,2018,0341424N,Collège Louise Michel,Ganges,34,3,"43.9366236246, 3.7052504937"
626,2018,0301746K,Collège Via Domitia,Manduel,30,3,"43.8180264011, 4.48825017339"
622,2018,0301010K,Collège Jules Vallès,Nîmes,30,3,"43.8588460926, 4.39110910066"
621,2018,0300059B,Collège Jules Verne,Nîmes,30,3,"43.8296391511, 4.34296054205"
615,2018,0110015G,Collège Jean Baptiste Bieules,Couiza,11,3,"42.9407637127, 2.25507021071"
26,2018,0110870L,Collège Antoine Pons,Chalabre,11,2,"42.9851089045, 2.00497993951"
28,2018,0300031W,Collège George Ville,Pont-Saint-Esprit,30,2,"44.2562769196, 4.64588054318"
640,2018,0660521H,Collège Pablo Casals,Cabestany,66,3,"42.6764094572, 2.94332002109"
619,2018,0300036B,Collège Armand Coussens,Saint-Ambroix,30,2,"44.2591054169, 4.19778969588"
231,2018,0301245R,Collège Lou Castellas,Marguerittes,30,2,"43.8643880293, 4.44129998288"
236,2018,0340111L,Collège Clémenceau,Montpellier,34,2,"43.6021807686, 3.8731804287"
844,2018,0480017H,Collège Odilon Barrot,Villefort,48,2,"44.4409467285, 3.92705994902"
848,2018,0660480N,Collège Jean Moulin,Arles-sur-Tech,66,2,"42.4571318685, 2.63197039146"
428,2018,0301098F,Collège les Oliviers,Nîmes,30,2,"43.8339248311, 4.38472962159"
429,2018,0301209B,Collège les Fontaines,Bouillargues,30,2,"43.8003340623, 4.43454976935"
624,2018,0301282F,Collège Elsa Triolet,Beaucaire,30,2,"43.8104670616, 4.62201018325"
37,2018,0340031Z,Collège Frédéric Mistral,Lunel,34,2,"43.6719380834, 4.12396000143"
823,2018,0301325C,Collège Henri Pitot,Aramon,30,2,"43.8882210597, 4.67947010181"
825,2018,0301721H,Collège Jean Louis Trintignant,Uzès,30,2,"44.028519592, 4.41477035441"
630,2018,0340996Y,Collège les Escholiers de la Mosson,Montpellier,34,2,"43.6337390636, 3.82164956652"
432,2018,0340032A,Collège les Arbourys,Magalas,34,2,"43.4705426287, 3.22338016058"
641,2018,0660522J,Collège Marcel Pagnol,Perpignan,66,2,"42.7121514378, 2.88187030741"
639,2018,0660431K,Collège Le Riberal,Saint-Estève,66,2,"42.7086982816, 2.83931047208"
435,2018,0341537L,Collège Frédéric Mistral,Pérols,34,2,"43.5612534507, 3.94976954923"
638,2018,0660029Y,Collège Joseph Calvet,Saint-Paul-de-Fenouillet,66,2,"42.8087998589, 2.50565044347"
830,2018,0340086J,Collège Frédéric Bazille,Castelnau-le-Lez,34,2,"43.6339667949, 3.90880976798"
634,2018,0341764H,Collège François Villon,Saint-Gély-du-Fesc,34,2,"43.6926718053, 3.79933962463"
831,2018,0340973Y,Collège Jean Jaurès,Mèze,34,2,"43.4266806349, 3.60220978092"
632,2018,0341364Y,Collège Gérard Philipe,Montpellier,34,2,"43.5973433958, 3.88440958533"
440,2018,0342224H,Collège Olympe de Gouges,Loupian,34,2,"43.4477739876, 3.6074897953"
443,2018,0660634F,Collège Climatique et Sportif,Font-Romeu-Odeillo-Via,66,2,"42.5150970307, 2.03995955126"
252,2018,0660018L,Collège Madame de Sévigné,Perpignan,66,2,"42.6842308397, 2.88608980902"
251,2018,0660016J,Collège la Garrigole,Perpignan,66,2,"42.6948472397, 2.86727657243"
250,2018,0660008A,Collège Pierre Fouché,Ille-sur-Têt,66,2,"42.6674347127, 2.61739054467"
246,2018,0342266D,Collège Françoise Combes,Montpellier,34,2,"43.6205154588, 3.8785601443"
245,2018,0342051V,Collège Vincent Badie,Montarnaud,34,2,"43.6346868173, 3.69295972433"
242,2018,0341421K,Collège Joffre,Montpellier,34,2,"43.6117701665, 3.88673979066"
238,2018,0341030K,Collège Camille Claudel,Montpellier,34,2,"43.6165476424, 3.86244060701"
235,2018,0340110K,Collège Pic Saint Loup,Saint-Clément-de-Rivière,34,2,"43.6817773311, 3.84701056038"
852,2018,0660848N,Collège Alice et Jean Olibo,Saint-Cyprien,66,1,"42.6230964794, 3.00866033295"
237,2018,0340117T,Collège Paul Dardé,Lodève,34,1,"43.7312528727, 3.30945029518"
841,2018,0480004U,Collège Marthe Dupeyron,Langogne,48,2,"44.7235510008, 3.85283017106"
625,2018,0301670C,Collège Frédéric Desmons,Saint-Geniès-de-Malgoirès,30,1,"43.9446156949, 4.22176967663"
240,2018,0341280G,Collège les Pins,Castries,34,1,"43.6830372278, 3.98875955951"
635,2018,0342052W,Collège Simone de Beauvoir,Frontignan,34,1,"43.4295170364, 3.73652058744"
232,2018,0301327E,Collège Gérard Philipe,Bagnols-sur-Cèze,30,1,"44.1618283977, 4.61622996246"
233,2018,0301747L,Collège,Lédignan,30,1,"43.9840086522, 4.10706037412"
239,2018,0341032M,Collège René Cassin,Agde,34,1,"43.3118517001, 3.48133007845"
826,2018,0340024S,Collège Voltaire,Florensac,34,1,"43.386879459, 3.46471973603"
827,2018,0340025T,Collège les Deux Pins,Frontignan,34,1,"43.4538921201, 3.75115012585"
629,2018,0340837A,Collège Jean Bene,Pézenas,34,1,"43.4585837695, 3.41668045009"
628,2018,0340037F,Collège Jules Ferry,Montagnac,34,1,"43.4821299204, 3.48096033689"
627,2018,0340034C,Collège Roger Contrepas,Marsillargues,34,1,"43.6674224763, 4.17421008"
248,2018,0480006W,Collège Sport Nature,La Canourgue,48,1,"44.4304664308, 3.21929027799"
