,Année,RNE,Nom établissement,Localité,Département,Label,Position
249,2018,0480607Z,Collège Henri Bourrillon,Mende,48,1,"44.5205651008, 3.50662969844"
22,2018,0110003U,Collège de l'Alaric,Capendu,11,1,"43.1859084897, 2.56341995244"
244,2018,0341893Y,Collège Paul Émile Victor,Agde,34,1,"43.3022597724, 3.48527038242"
253,2018,0660028X,Collège Jean Mermoz,Saint-Laurent-de-la-Salanque,66,1,"42.7715648368, 2.98475020405"
847,2018,0660051X,Collège Albert Camus,Perpignan,66,1,"42.6911542142, 2.9090199574"
846,2018,0660049V,Collège Jean Moulin,Perpignan,66,1,"42.6969467289, 2.899559487"
45,2018,0341577E,Collège Le Bérange,Baillargues,34,1,"43.6670767331, 4.02226955004"
49,2018,0660019M,Collège Saint Exupéry,Perpignan,66,1,"42.6809404657, 2.90278705816"
53,2018,0660865G,Collège Pierre Mendès France,Saint-André,66,1,"42.5541189497, 2.96351977326"
623,2018,0301208A,Collège Eugène Vigné,Beaucaire,30,1,"43.8104662202, 4.6377803152"
833,2018,0341028H,Collège Georges Brassens,Lattes,34,1,"43.5669672693, 3.8996797337"
834,2018,0341705U,Collège Alain Savary,Saint-Mathieu-de-Tréviers,34,1,"43.7625738486, 3.86340969268"
620,2018,0300055X,Collège Bernard de Ventadour,Bagnols-sur-Cèze,30,1,"44.1625564528, 4.61367940487"
44,2018,0341387Y,Collège Alfred Crouzet,Servian,34,1,"43.4237809859, 3.30698015302"
617,2018,0110672W,Collège Jules Verne,Carcassonne,11,1,"43.2174450571, 2.35158998458"
836,2018,0342050U,Collège Françoise Giroud,Vendres,34,1,"43.2702388366, 3.23120964337"
849,2018,0660523K,Collège Paul Langevin,Elne,66,1,"42.6133158471, 2.9781896986"
850,2018,0660600U,Collège Cerdanya,Bourg-Madame,66,1,"42.4348677189, 1.94906024422"
851,2018,0660653B,Collège Jules Verne,Le Soler,66,1,"42.6788324315, 2.78077044178"
838,2018,0342077Y,Collège Ray Charles,Fabrègues,34,1,"43.5608737832, 3.78969007423"
843,2018,0480014E,Collège UPP Pierre Delmas,Sainte-Enimie,48,1,"44.3669528713, 3.41120962813"
41,2018,0341065Y,Collège Jean Moulin,Sète,34,1,"43.4153654872, 3.67108004392"
40,2018,0340119V,Collège Ferdinand Fabre,Bédarieux,34,1,"43.6109247059, 3.15462945714"
824,2018,0301326D,Collège André Chamson,Le Vigan,30,1,"43.989870598, 3.60065939066"
444,2018,0660864F,Collège François Mitterrand,Toulouges,66,1,"42.6654908741, 2.8406905042"
36,2018,0301827Y,Collège Federico Garcia Lorca,Bellegarde,30,1,"43.7507318849, 4.49710961267"
225,2018,0110859Z,Collège Joseph Delteil,Limoux,11,1,"43.0641830596, 2.21530968734"
226,2018,0300037C,Collège Jean Vilar,Saint-Gilles,30,1,"43.6857190477, 4.43333951677"
637,2018,0660007Z,Collège Irène Joliot Curie,Estagel,66,1,"42.7703572832, 2.69483024839"
832,2018,0340974Z,Collège Emmanuel Maffre Baugé,Paulhan,34,1,"43.5407317335, 3.45764059763"
216,2018,0110010B,Collège André Chénier,Carcassonne,11,1,"43.2122787954, 2.34931008288"
442,2018,0660022R,Collège Gustave Violet,Prades,66,3,"42.619996072, 2.41849051273"
27,2018,0300025P,Collège Romain Rolland,Nîmes,30,1,"43.8446529432, 4.39021018203"
31,2018,0300947S,Collège Alphonse Daudet,Alès,30,1,"44.1352924236, 4.08584945806"
33,2018,0301211D,Collège Le Bosquet,Bagnols-sur-Cèze,30,1,"44.1557122462, 4.62073028788"
24,2018,0110674Y,Collège Gaston Bonheur,Trèbes,11,1,"43.2096146282, 2.45349998889"
828,2018,0340057C,Collège Antoine Fauré,Olonzac,34,1,"43.2819795951, 2.72991000174"
29,2018,0300050S,Collège La Garriguette,Vergèze,30,1,"43.7485520964, 4.22501990075"
218,2018,0110026U,Collège Jules Ferry,Narbonne,11,1,"43.1789454566, 3.00081979452"
23,2018,0110037F,Collège Alain,Carcassonne,11,1,"43.2109519063, 2.33162942174"
35,2018,0301723K,Collège Théodore Monod,Clarensac,30,1,"43.826028832, 4.23046940861"
829,2018,0340063J,Collège Louis Cahuzac,Quarante,34,1,"43.3442586389, 2.96429025336"
223,2018,0110724C,Collège des Corbières Maritimes,Sigean,11,1,"43.023961596, 2.98093039251"
224,2018,0110810W,Collège de Grazailles,Carcassonne,11,1,"43.2243470524, 2.35215950467"
219,2018,0110067N,Collège les Mailheuls,Coursan,11,1,"43.2319006101, 3.06104029549"
643,2019,0110010B,Collège André Chénier,Carcassonne,11,1,"43.2122787954, 2.34931008288"
257,2019,0110675Z,Collège Michel Bousquié,Quillan,11,2,"42.876164008, 2.17579041988"
259,2019,0110825M,Collège les Fontanilles,Castelnaudary,11,2,"43.3181114475, 1.94445047802"
260,2019,0110870L,Collège Antoine Pons,Chalabre,11,2,"42.9851089045, 2.00497993951"
262,2019,0300016E,Collège de la Regordane,Génolhac,30,2,"44.3495919152, 3.94858022887"
264,2019,0300043J,Collège Jean Baptiste Dumas,Salindres,30,2,"44.1664128318, 4.16061997374"
256,2019,0110067N,Collège les Mailheuls,Coursan,11,1,"43.2319006101, 3.06104029549"
255,2019,0110037F,Collège Alain,Carcassonne,11,2,"43.2109519063, 2.33162942174"
261,2019,0300001N,Collège Irène Joliot Curie,Aigues-Mortes,30,1,"43.5676500654, 4.20215017098"
274,2019,0301747L,Collège,Lédignan,30,1,"43.9840086522, 4.10706037412"
476,2019,0660019M,Collège Saint Exupéry,Perpignan,66,2,"42.6809404657, 2.90278705816"
263,2019,0300039E,Collège de la Galaberte,Saint-Hippolyte-du-Fort,30,1,"43.9631396836, 3.85859982594"
278,2019,0341028H,Collège Georges Brassens,Lattes,34,1,"43.5669672693, 3.8996797337"
273,2019,0301656M,Collège Claudie Haigneré,Rochefort-du-Gard,30,1,"43.9738250696, 4.677720001"
61,2019,0300059B,Collège Jules Verne,Nîmes,30,3,"43.8296391511, 4.34296054205"
266,2019,0301012M,Collège Léo Larguier,La Grand-Combe,30,2,"44.2101391558, 4.03036051229"
75,2019,0341321B,Collège Katia et Maurice Krafft,Béziers,34,2,"43.3368266518, 3.249580225"
74,2019,0341278E,Collège Arthur Rimbaud,Montpellier,34,2,"43.6166769762, 3.82158973055"
70,2019,0340034C,Collège Roger Contrepas,Marsillargues,34,2,"43.6674224763, 4.17421008"
66,2019,0301325C,Collège Henri Pitot,Aramon,30,2,"43.8882210597, 4.67947010181"
62,2019,0301098F,Collège les Oliviers,Nîmes,30,2,"43.8339248311, 4.38472962159"
56,2019,0110025T,Collège Cité,Narbonne,11,3,"43.1871871048, 3.00827041122"
653,2019,0301232B,Collège Gaston Doumergue,Sommières,30,3,"43.7847374416, 4.08325039108"
642,2019,0110003U,Collège de l'Alaric,Capendu,11,2,"43.1859084897, 2.56341995244"
477,2019,0660030Z,Collège Pierre Moréto,Thuir,66,2,"42.6336129412, 2.7594402717"
68,2019,0340025T,Collège les Deux Pins,Frontignan,34,1,"43.4538921201, 3.75115012585"
457,2019,0301096D,Collège la Vallée Verte,Vauvert,30,1,"43.6876211755, 4.27148012771"
58,2019,0110674Y,Collège Gaston Bonheur,Trèbes,11,1,"43.2096146282, 2.45349998889"
67,2019,0301723K,Collège Théodore Monod,Clarensac,30,1,"43.826028832, 4.23046940861"
60,2019,0300020J,Collège Antoine Deparcieux,Le Martinet,30,1,"44.252830676, 4.08464044227"
63,2019,0301208A,Collège Eugène Vigné,Beaucaire,30,1,"43.8104662202, 4.6377803152"
853,2019,0110665N,Collège Varsovie,Carcassonne,11,2,"43.2137760413, 2.34773990008"
64,2019,0301211D,Collège Le Bosquet,Bagnols-sur-Cèze,30,1,"44.1557122462, 4.62073028788"
65,2019,0301283G,Collège Lou Redounet,Uzès,30,1,"44.0090604673, 4.4137097897"
675,2019,0660648W,Collège la Côte Radieuse,Canet-en-Roussillon,66,2,"42.7051558749, 2.99772032008"
674,2019,0660480N,Collège Jean Moulin,Arles-sur-Tech,66,2,"42.4571318685, 2.63197039146"
673,2019,0660029Y,Collège Joseph Calvet,Saint-Paul-de-Fenouillet,66,2,"42.8087998589, 2.50565044347"
671,2019,0480017H,Collège Odilon Barrot,Villefort,48,2,"44.4409467285, 3.92705994902"
670,2019,0480011B,Collège André Chamson,Meyrueis,48,2,"44.1799498461, 3.43142941984"
475,2019,0660016J,Collège la Garrigole,Perpignan,66,2,"42.6948472397, 2.86727657243"
668,2019,0342186S,Collège Max Rouquette,Saint-André-de-Sangonis,34,2,"43.6546699449, 3.49792022235"
666,2019,0341421K,Collège Joffre,Montpellier,34,2,"43.6117701665, 3.88673979066"
663,2019,0341280G,Collège les Pins,Castries,34,2,"43.6830372278, 3.98875955951"
662,2019,0341065Y,Collège Jean Moulin,Sète,34,2,"43.4153654872, 3.67108004392"
661,2019,0341030K,Collège Camille Claudel,Montpellier,34,2,"43.6165476424, 3.86244060701"
659,2019,0340119V,Collège Ferdinand Fabre,Bédarieux,34,2,"43.6109247059, 3.15462945714"
656,2019,0340021N,Collège Jules Ferry,Cazouls-lès-Béziers,34,2,"43.3898154424, 3.1016801846"
651,2019,0300062E,Collège Capouchiné,Nîmes,30,2,"43.8224816364, 4.35695996915"
649,2019,0300037C,Collège Jean Vilar,Saint-Gilles,30,2,"43.6857190477, 4.43333951677"
647,2019,0110810W,Collège de Grazailles,Carcassonne,11,2,"43.2243470524, 2.35215950467"
645,2019,0110666P,Collège Le Bastion,Carcassonne,11,2,"43.2164456747, 2.34890030778"
57,2019,0110672W,Collège Jules Verne,Carcassonne,11,2,"43.2174450571, 2.35158998458"
287,2019,0660012E,Collège Joseph Sébastien Pons,Perpignan,66,1,"42.7197414277, 2.89175023197"
280,2019,0341387Y,Collège Alfred Crouzet,Servian,34,1,"43.4237809859, 3.30698015302"
657,2019,0340062H,Collège Via Domitia,Poussan,34,2,"43.4861817938, 3.66554039336"
667,2019,0341577E,Collège Le Bérange,Baillargues,34,2,"43.6670767331, 4.02226955004"
72,2019,0340109J,Collège les Garrigues,Montpellier,34,3,"43.6426440098, 3.8170897104"
275,2019,0340053Y,Collège Croix d'Argent,Montpellier,34,3,"43.5901236713, 3.86672053586"
83,2019,0660008A,Collège Pierre Fouché,Ille-sur-Têt,66,3,"42.6674347127, 2.61739054467"
652,2019,0300947S,Collège Alphonse Daudet,Alès,30,1,"44.1352924236, 4.08584945806"
282,2019,0342224H,Collège Olympe de Gouges,Loupian,34,2,"43.4477739876, 3.6074897953"
288,2019,0660038H,Collège de la Côte Vermeille,Port-Vendres,66,2,"42.520036821, 3.10255948226"
292,2019,0660866H,Collège Jean Rous,Pia,66,2,"42.7401372813, 2.92554017198"
271,2019,0301326D,Collège André Chamson,Le Vigan,30,2,"43.989870598, 3.60065939066"
272,2019,0301327E,Collège Gérard Philipe,Bagnols-sur-Cèze,30,2,"44.1618283977, 4.61622996246"
276,2019,0340086J,Collège Frédéric Bazille,Castelnau-le-Lez,34,2,"43.6339667949, 3.90880976798"
277,2019,0340996Y,Collège les Escholiers de la Mosson,Montpellier,34,2,"43.6337390636, 3.82164956652"
474,2019,0660007Z,Collège Irène Joliot Curie,Estagel,66,1,"42.7703572832, 2.69483024839"
877,2019,0480002S,Collège Henri Gamala,Le Collet-de-Dèze,48,3,"44.2458831779, 3.91986047952"
878,2019,0480005V,Collège Marcel Pierrel,Marvejols,48,3,"44.5569078111, 3.29316011116"
862,2019,0300141R,Collège Condorcet,Nîmes,30,3,"43.8276608398, 4.33614977357"
859,2019,0300031W,Collège George Ville,Pont-Saint-Esprit,30,3,"44.2562769196, 4.64588054318"
864,2019,0301282F,Collège Elsa Triolet,Beaucaire,30,3,"43.8104670616, 4.62201018325"
59,2019,0111051H,Collège Rosa Parks,Lézignan-Corbières,11,3,"43.184518864, 2.7595799942"
865,2019,0301746K,Collège Via Domitia,Manduel,30,3,"43.8180264011, 4.48825017339"
258,2019,0110725D,Collège la Nadière,Port-la-Nouvelle,11,3,"43.0152938287, 3.0473402655"
293,2019,0660925X,Collège Christian Bourquin,Millas,66,3,"42.6864276173, 2.68759941973"
291,2019,0660601V,Collège Jean Amade,Céret,66,3,"42.4868710371, 2.75436022644"
290,2019,0660522J,Collège Marcel Pagnol,Perpignan,66,3,"42.7121514378, 2.88187030741"
289,2019,0660521H,Collège Pablo Casals,Cabestany,66,3,"42.6764094572, 2.94332002109"
265,2019,0300929X,Collège du Mont Duplan,Nîmes,30,3,"43.8433058201, 4.36424053265"
286,2019,0480013D,Collège Haut Gévaudan,Saint-Chély-d'Apcher,48,3,"44.8073524329, 3.26968062011"
268,2019,0301213F,Collège Paul Valéry,Roquemaure,30,3,"44.0480398242, 4.78033053981"
285,2019,0480006W,Collège Sport Nature,La Canourgue,48,3,"44.4304664308, 3.21929027799"
284,2019,0480004U,Collège Marthe Dupeyron,Langogne,48,3,"44.7235510008, 3.85283017106"
283,2019,0480001R,Collège Henri Rouvière,Le Bleymard,48,3,"44.4893577861, 3.73783029606"
269,2019,0301245R,Collège Lou Castellas,Marguerittes,30,3,"43.8643880293, 4.44129998288"
281,2019,0341705U,Collège Alain Savary,Saint-Mathieu-de-Tréviers,34,3,"43.7625738486, 3.86340969268"
279,2019,0341368C,Collège de l'Étang de l'Or,Mauguio,34,3,"43.6126507357, 4.00806047562"
874,2019,0341825Z,Collège Ambrussum,Lunel,34,3,"43.6876054742, 4.13410022864"
650,2019,0300050S,Collège La Garriguette,Vergèze,30,1,"43.7485520964, 4.22501990075"
648,2019,0300033Y,Collège Voltaire,Remoulins,30,1,"43.9391477432, 4.57085010929"
672,2019,0660017K,Collège Jean Macé,Perpignan,66,1,"42.6952140275, 2.8876601781"
76,2019,0341764H,Collège François Villon,Saint-Gély-du-Fesc,34,2,"43.6926718053, 3.79933962463"
84,2019,0660022R,Collège Gustave Violet,Prades,66,3,"42.619996072, 2.41849051273"
77,2019,0342050U,Collège Françoise Giroud,Vendres,34,2,"43.2702388366, 3.23120964337"
270,2019,0301284H,Collège Jean Rostand,Nîmes,30,3,"43.8453349382, 4.3436104753"
80,2019,0480003T,Collège des Trois Vallées,Florac,48,2,"44.3219028103, 3.59757997599"
82,2019,0480607Z,Collège Henri Bourrillon,Mende,48,2,"44.5205651008, 3.50662969844"
86,2019,0660037G,Collège Joffre,Rivesaltes,66,2,"42.767749446, 2.87938008707"
88,2019,0660848N,Collège Alice et Jean Olibo,Saint-Cyprien,66,2,"42.6230964794, 3.00866033295"
78,2019,0342051V,Collège Vincent Badie,Montarnaud,34,2,"43.6346868173, 3.69295972433"
646,2019,0110721Z,Collège Antoine Courrière,Cuxac-Cabardès,11,1,"43.3618712596, 2.26580041102"
660,2019,0340998A,Collège Jeu de Mail,Montpellier,34,1,"43.6271574265, 3.86539973395"
267,2019,0301013N,Collège Jean Moulin,Alès,30,2,"44.13184497, 4.07762997317"
644,2019,0110015G,Collège Jean Baptiste Bieules,Couiza,11,3,"42.9407637127, 2.25507021071"
658,2019,0340111L,Collège Clémenceau,Montpellier,34,3,"43.6021807686, 3.8731804287"
664,2019,0341366A,Collège du Salagou,Clermont-l'Hérault,34,3,"43.6341692684, 3.43125035714"
665,2019,0341367B,Collège Paul Bert,Capestang,34,3,"43.329458695, 3.04042023675"
669,2019,0342326U,Collège Boby Lapointe,Roujan,34,3,"43.505481603, 3.31503938511"
873,2019,0341424N,Collège Louise Michel,Ganges,34,1,"43.9366236246, 3.7052504937"
445,2019,0110021N,Collège Victor Hugo,Narbonne,11,2,"43.1878051934, 3.00615001634"
447,2019,0110676A,Collège Saint Exupéry,Bram,11,2,"43.2391799899, 2.11086056286"
453,2019,0300055X,Collège Bernard de Ventadour,Bagnols-sur-Cèze,30,2,"44.1625564528, 4.61367940487"
459,2019,0301670C,Collège Frédéric Desmons,Saint-Geniès-de-Malgoirès,30,2,"43.9446156949, 4.22176967663"
462,2019,0340031Z,Collège Frédéric Mistral,Lunel,34,2,"43.6719380834, 4.12396000143"
854,2019,0110667R,Collège Pierre et Marie Curie,Rieux-Minervois,11,1,"43.2816347265, 2.58131002347"
467,2019,0341277D,Collège les Aiguerelles,Montpellier,34,2,"43.5975367249, 3.89212977987"
885,2019,0660634F,Collège Climatique et Sportif,Font-Romeu-Odeillo-Via,66,2,"42.5150970307, 2.03995955126"
470,2019,0341826A,Collège François Mitterrand,Clapiers,34,2,"43.6530326337, 3.8955996619"
883,2019,0660523K,Collège Paul Langevin,Elne,66,2,"42.6133158471, 2.9781896986"
71,2019,0340037F,Collège Jules Ferry,Montagnac,34,1,"43.4821299204, 3.48096033689"
654,2019,0301246S,Collège la Gardonnenque,Brignon,30,1,"43.974322734, 4.21295996157"
655,2019,0301671D,Collège Le Vignet,Calvisson,30,1,"43.7831648894, 4.20125983579"
468,2019,0341363X,Collège de la Voie Domitienne,Le Crès,34,2,"43.6479920098, 3.93101951031"
79,2019,0342131G,Collège François Rabelais,Montpellier,34,2,"43.6260229991, 3.83347044839"
69,2019,0340032A,Collège les Arbourys,Magalas,34,2,"43.4705426287, 3.22338016058"
85,2019,0660028X,Collège Jean Mermoz,Saint-Laurent-de-la-Salanque,66,1,"42.7715648368, 2.98475020405"
454,2019,0300946R,Collège Révolution,Nîmes,30,3,"43.8411277221, 4.35535964864"
464,2019,0340051W,Collège Fontcarrade,Montpellier,34,3,"43.6075877251, 3.85417007214"
461,2019,0301816L,Collège Claude Chappe,Gallargues-le-Montueux,30,1,"43.7180458029, 4.17628042313"
472,2019,0342076X,Collège de la Petite Camargue,Lansargues,34,3,"43.6548701317, 4.08186989454"
876,2019,0342130F,Collège Pierre Deley,Marseillan,34,1,"43.3636032312, 3.52046025283"
455,2019,0301010K,Collège Ada Lovelace,Nîmes,30,3,"43.8588460926, 4.39110910066"
857,2019,0111015U,Collège Marcelin Albert,Saint-Nazaire-d'Aude,11,2,"43.2557196651, 2.90897034676"
871,2019,0340974Z,Collège Emmanuel Maffre Baugé,Paulhan,34,2,"43.5407317335, 3.45764059763"
473,2019,0342077Y,Collège Ray Charles,Fabrègues,34,1,"43.5608737832, 3.78969007423"
466,2019,0341032M,Collège René Cassin,Agde,34,1,"43.3118517001, 3.48133007845"
884,2019,0660600U,Collège Cerdanya,Bourg-Madame,66,1,"42.4348677189, 1.94906024422"
87,2019,0660049V,Collège Jean Moulin,Perpignan,66,1,"42.6969467289, 2.899559487"
870,2019,0340955D,Collège Simone Veil,Montpellier,34,2,"43.6180403594, 3.84792979907"
882,2019,0660431K,Collège Le Riberal,Saint-Estève,66,2,"42.7086982816, 2.83931047208"
858,2019,0300006U,Collège Florian,Anduze,30,2,"44.053275465, 3.98381045633"
856,2019,0110724C,Collège des Corbières Maritimes,Sigean,11,2,"43.023961596, 2.98093039251"
866,2019,0301827Y,Collège Fédérico Garcia Lorca,Bellegarde,30,2,"43.7507318849, 4.49710961267"
872,2019,0341388Z,Collège Marcel Pagnol,Sérignan,34,2,"43.2761956341, 3.27145043447"
867,2019,0340057C,Collège Antoine Fauré,Olonzac,34,2,"43.2819795951, 2.72991000174"
868,2019,0340063J,Collège Louis Cahuzac,Quarante,34,2,"43.3442586389, 2.96429025336"
869,2019,0340110K,Collège Pic Saint Loup,Saint-Clément-de-Rivière,34,2,"43.6817773311, 3.84701056038"
879,2019,0480015F,Collège Achille Rousson,Saint-Étienne-Vallée-Française,48,2,"44.1664542311, 3.84200964175"
456,2019,0301014P,Collège Denis Diderot,Alès,30,3,"44.1328062981, 4.07873052994"
863,2019,0301214G,Collège du Mourion,Villeneuve-lès-Avignon,30,2,"43.9762220762, 4.78356042514"
458,2019,0301209B,Collège les Fontaines,Bouillargues,30,3,"43.8003340623, 4.43454976935"
478,2019,0660864F,Collège François Mitterrand,Toulouges,66,3,"42.6654908741, 2.8406905042"
471,2019,0342036D,Collège Pierre Mendès France,Jacou,34,3,"43.6671893915, 3.91074972156"
73,2019,0340118U,Collège Henri IV,Béziers,34,1,"43.3437274675, 3.21021014725"
460,2019,0301721H,Collège Jean Louis Trintignant,Uzès,30,3,"44.028519592, 4.41477035441"
451,2019,0300025P,Collège Romain Rolland,Nîmes,30,1,"43.8446529432, 4.39021018203"
855,2019,0110686L,Collège Joseph Anglade,Lézignan-Corbières,11,2,"43.196809464, 2.76527043622"
450,2019,0300013B,Collège Le Castellas,Bessèges,30,1,"44.2934511404, 4.09540034382"
465,2019,0340972X,Collège Victor Hugo,Sète,34,1,"43.4084449513, 3.70024943939"
469,2019,0341364Y,Collège Gérard Philipe,Montpellier,34,3,"43.5973433958, 3.88440958533"
676,2019,0660653B,Collège Jules Verne,Le Soler,66,2,"42.6788324315, 2.78077044178"
860,2019,0300032X,Collège de Coutach,Quissac,30,2,"43.9134526084, 3.99461994587"
89,2019,0660865G,Collège Pierre Mendès France,Saint-André,66,1,"42.5541189497, 2.96351977326"
448,2019,0110788X,Collège Montesquieu,Narbonne,11,1,"43.1934084556, 3.01872967957"
449,2019,0110859Z,Collège Joseph Delteil,Limoux,11,1,"43.0641830596, 2.21530968734"
446,2019,0110026U,Collège Jules Ferry,Narbonne,11,1,"43.1789454566, 3.00081979452"
881,2019,0660051X,Collège Albert Camus,Perpignan,66,2,"42.6911542142, 2.9090199574"
81,2019,0480014E,Collège UPP Pierre delmas,Sainte-Enimie,48,1,"44.3669528713, 3.41120962813"
452,2019,0300042H,Collège Marceau Lapierre,Saint-Jean-du-Gard,30,1,"44.1089710382, 3.88933994461"
880,2019,0660018L,Collège Madame de Sévigné,Perpignan,66,2,"42.6842308397, 2.88608980902"
463,2019,0340048T,Collège Clémence Royer,Montpellier,34,1,"43.6153374834, 3.87603975368"
861,2019,0300036B,Collège Armand Coussens,Saint-Ambroix,30,2,"44.2591054169, 4.19778969588"
875,2019,0341870Y,Collège Marie Curie,Pignan,34,2,"43.5795881698, 3.76382057356"
901,2020,0340057C,Collège Antoine Fauré,Olonzac,34,2,"43.2819795951, 2.72991000174"
108,2020,0341277D,Collège les Aiguerelles,Montpellier,34,2,"43.5975367249, 3.89212977987"
493,2020,0301670C,Collège Frédéric Desmons,Saint-Geniès-de-Malgoirès,30,2,"43.9446156949, 4.22176967663"
887,2020,0110026U,Collège Jules Ferry,Narbonne,11,2,"43.1789454566, 3.00081979452"
888,2020,0110068P,Collège Georges Brassens,Narbonne,11,2,"43.1861949153, 2.97425005916"
109,2020,0341278E,Collège Arthur Rimbaud,Montpellier,34,2,"43.6166769762, 3.82158973055"
894,2020,0301013N,Collège Jean Moulin,Alès,30,2,"44.13184497, 4.07762997317"
110,2020,0341364Y,Collège Gérard Philipe,Montpellier,34,2,"43.5973433958, 3.88440958533"
895,2020,0301098F,Collège les Oliviers,Nîmes,30,2,"43.8339248311, 4.38472962159"
111,2020,0341388Z,Collège Marcel Pagnol,Sérignan,34,2,"43.2761956341, 3.27145043447"
318,2020,0341280G,Collège les Pins,Castries,34,2,"43.6830372278, 3.98875955951"
112,2020,0341537L,Collège Frédéric Mistral,Pérols,34,2,"43.5612534507, 3.94976954923"
917,2020,0660018L,Collège Madame de Sévigné,Perpignan,66,2,"42.6842308397, 2.88608980902"
918,2020,0660634F,Collège Climatique et Sportif,Font-Romeu-Odeillo-Via,66,2,"42.5150970307, 2.03995955126"
115,2020,0480017H,Collège Odilon Barrot,Villefort,48,2,"44.4409467285, 3.92705994902"
919,2020,0660848N,Collège Alice et Jean Olibo,Saint-Cyprien,66,2,"42.6230964794, 3.00866033295"
328,2020,0660038H,Collège de la Côte Vermeille,Port-Vendres,66,2,"42.520036821, 3.10255948226"
678,2020,0110011C,Collège Blaise d'Auriol,Castelnaudary,11,1,"43.3163356798, 1.95829006889"
886,2020,0110003U,Collège de l'Alaric,Capendu,11,2,"43.1859084897, 2.56341995244"
91,2020,0110675Z,Collège Michel Bousquié,Quillan,11,2,"42.876164008, 2.17579041988"
897,2020,0301327E,Collège Gérard Philipe,Bagnols-sur-Cèze,30,2,"44.1618283977, 4.61622996246"
902,2020,0340062H,Collège Via Domitia,Poussan,34,2,"43.4861817938, 3.66554039336"
502,2020,0480003T,Collège des Trois Vallées,Florac,48,2,"44.3219028103, 3.59757997599"
900,2020,0340034C,Collège Roger Contrepas,Marsillargues,34,2,"43.6674224763, 4.17421008"
707,2020,0342326U,Collège Boby Lapointe,Roujan,34,3,"43.505481603, 3.31503938511"
485,2020,0300033Y,Collège Voltaire,Remoulins,30,2,"43.9391477432, 4.57085010929"
494,2020,0301671D,Collège Le Vignet,Calvisson,30,2,"43.7831648894, 4.20125983579"
500,2020,0341893Y,Collège Paul Émile Victor,Agde,34,2,"43.3022597724, 3.48527038242"
679,2020,0110025T,Collège Cité,Narbonne,11,3,"43.1871871048, 3.00827041122"
684,2020,0110810W,Collège de Grazailles,Carcassonne,11,3,"43.2243470524, 2.35215950467"
687,2020,0300025P,Collège Romain Rolland,Nîmes,30,3,"43.8446529432, 4.39021018203"
484,2020,0300032X,Collège de Coutach,Quissac,30,2,"43.9134526084, 3.99461994587"
