,Année,RNE,Nom établissement,Localité,Département,Label,Position
688,2020,0300141R,Collège Condorcet,Nîmes,30,3,"43.8276608398, 4.33614977357"
496,2020,0340032A,Collège les Arbourys,Magalas,34,2,"43.4705426287, 3.22338016058"
102,2020,0301827Y,Collège Fédérico Garcia Lorca,Bellegarde,30,2,"43.7507318849, 4.49710961267"
690,2020,0301010K,Collège Ada Lovelace,Nîmes,30,3,"43.8588460926, 4.39110910066"
696,2020,0340051W,Collège Fontcarrade,Montpellier,34,3,"43.6075877251, 3.85417007214"
704,2020,0342036D,Collège Pierre Mendès France,Jacou,34,3,"43.6671893915, 3.91074972156"
487,2020,0300062E,Collège Capouchiné,Nîmes,30,2,"43.8224816364, 4.35695996915"
489,2020,0301214G,Collège du Mourion,Villeneuve-lès-Avignon,30,2,"43.9762220762, 4.78356042514"
905,2020,0340110K,Collège Pic Saint Loup,Saint-Clément-de-Rivière,34,2,"43.6817773311, 3.84701056038"
99,2020,0301012M,Collège Léo Larguier,La Grand-Combe,30,2,"44.2101391558, 4.03036051229"
906,2020,0340998A,Collège Jeu de Mail,Montpellier,34,2,"43.6271574265, 3.86539973395"
907,2020,0341030K,Collège Camille Claudel,Montpellier,34,2,"43.6165476424, 3.86244060701"
98,2020,0300055X,Collège Bernard de Ventadour,Bagnols-sur-Cèze,30,2,"44.1625564528, 4.61367940487"
92,2020,0110676A,Collège Saint Exupéry,Bram,11,2,"43.2391799899, 2.11086056286"
910,2020,0341764H,Collège François Villon,Saint-Gély-du-Fesc,34,2,"43.6926718053, 3.79933962463"
689,2020,0300929X,Collège du Mont Duplan,Nîmes,30,3,"43.8433058201, 4.36424053265"
327,2020,0660037G,Collège Joffre,Rivesaltes,66,2,"42.767749446, 2.87938008707"
320,2020,0341421K,Collège Joffre,Montpellier,34,2,"43.6117701665, 3.88673979066"
317,2020,0340972X,Collège Victor Hugo,Sète,34,2,"43.4084449513, 3.70024943939"
96,2020,0300039E,Collège de la Galaberte,Saint-Hippolyte-du-Fort,30,1,"43.9631396836, 3.85859982594"
95,2020,0300013B,Collège Le Castellas,Bessèges,30,1,"44.2934511404, 4.09540034382"
691,2020,0301208A,Collège Eugène Vigné,Beaucaire,30,1,"43.8104662202, 4.6377803152"
307,2020,0301232B,Collège Gaston Doumergue,Sommières,30,3,"43.7847374416, 4.08325039108"
308,2020,0301284H,Collège Jean Rostand,Nîmes,30,3,"43.8453349382, 4.3436104753"
313,2020,0340066M,Collège UPP Bédarieux,Saint-Gervais-sur-Mare,34,3,"43.6531951422, 3.04152960191"
316,2020,0340119V,Collège Ferdinand Fabre,Bédarieux,34,3,"43.6109247059, 3.15462945714"
694,2020,0340016H,Collège la Dullague,Béziers,34,1,"43.3426599739, 3.23330961701"
698,2020,0341032M,Collège René Cassin,Agde,34,1,"43.3118517001, 3.48133007845"
695,2020,0340025T,Collège les Deux Pins,Frontignan,34,1,"43.4538921201, 3.75115012585"
705,2020,0342050U,Collège Françoise Giroud,Vendres,34,1,"43.2702388366, 3.23120964337"
331,2020,0660601V,Collège Jean Amade,Céret,66,3,"42.4868710371, 2.75436022644"
324,2020,0480013D,Collège Haut Gévaudan,Saint-Chély-d'Apcher,48,3,"44.8073524329, 3.26968062011"
323,2020,0480004U,Collège Marthe Dupeyron,Langogne,48,3,"44.7235510008, 3.85283017106"
321,2020,0342076X,Collège de la Petite Camargue,Lansargues,34,3,"43.6548701317, 4.08186989454"
501,2020,0342077Y,Collège Ray Charles,Fabrègues,34,1,"43.5608737832, 3.78969007423"
709,2020,0480014E,Collège UPP Pierre delmas,Sainte-Enimie,48,1,"44.3669528713, 3.41120962813"
692,2020,0301325C,Collège Henri Pitot,Aramon,30,1,"43.8882210597, 4.67947010181"
899,2020,0340021N,Collège Jules Ferry,Cazouls-lès-Béziers,34,1,"43.3898154424, 3.1016801846"
693,2020,0301723K,Collège Théodore Monod,Clarensac,30,1,"43.826028832, 4.23046940861"
113,2020,0342130F,Collège Pierre Deley,Marseillan,34,1,"43.3636032312, 3.52046025283"
124,2020,0660865G,Collège Pierre Mendès France,Saint-André,66,3,"42.5541189497, 2.96351977326"
117,2020,0660017K,Collège Jean Macé,Perpignan,66,1,"42.6952140275, 2.8876601781"
97,2020,0300043J,Collège Jean Baptiste Dumas,Salindres,30,1,"44.1664128318, 4.16061997374"
93,2020,0111051H,Collège Rosa Parks,Lézignan-Corbières,11,3,"43.184518864, 2.7595799942"
101,2020,0301282F,Collège Elsa Triolet,Beaucaire,30,3,"43.8104670616, 4.62201018325"
104,2020,0340111L,Collège Clémenceau,Montpellier,34,3,"43.6021807686, 3.8731804287"
105,2020,0340955D,Collège Simone Veil,Montpellier,34,3,"43.6180403594, 3.84792979907"
106,2020,0340974Z,Collège Emmanuel Maffre Baugé,Paulhan,34,3,"43.5407317335, 3.45764059763"
114,2020,0480001R,Collège Henri Rouvière,Le Bleymard,48,3,"44.4893577861, 3.73783029606"
123,2020,0660521H,Collège Pau Casals,Cabestany,66,3,"42.6764094572, 2.94332002109"
94,2020,0300006U,Collège Florian,Anduze,30,3,"44.053275465, 3.98381045633"
315,2020,0340117T,Collège Paul Dardé,Lodève,34,2,"43.7312528727, 3.30945029518"
100,2020,0301246S,Collège la Gardonnenque,Brignon,30,1,"43.974322734, 4.21295996157"
107,2020,0341028H,Collège Georges Brassens,Lattes,34,1,"43.5669672693, 3.8996797337"
322,2020,0342131G,Collège François Rabelais,Montpellier,34,2,"43.6260229991, 3.83347044839"
916,2020,0660016J,Collège la Garrigole,Perpignan,66,2,"42.6948472397, 2.86727657243"
912,2020,0342224H,Collège Olympe de Gouges,Loupian,34,2,"43.4477739876, 3.6074897953"
319,2020,0341366A,Collège du Salagou,Clermont-l'Hérault,34,2,"43.6341692684, 3.43125035714"
310,2020,0301747L,Collège,Lédignan,30,2,"43.9840086522, 4.10706037412"
116,2020,0660012E,Collège Joseph Sébastien Pons,Perpignan,66,2,"42.7197414277, 2.89175023197"
296,2020,0110665N,Collège Varsovie,Carcassonne,11,2,"43.2137760413, 2.34773990008"
483,2020,0110825M,Collège les Fontanilles,Castelnaudary,11,2,"43.3181114475, 1.94445047802"
312,2020,0340008Z,Collège Victor Hugo,Bessan,34,2,"43.3632534598, 3.42253958791"
911,2020,0341825Z,Collège Ambrussum,Lunel,34,3,"43.6876054742, 4.13410022864"
892,2020,0300059B,Collège Jules Verne,Nîmes,30,3,"43.8296391511, 4.34296054205"
890,2020,0300016E,Collège de la Regordane,Génolhac,30,3,"44.3495919152, 3.94858022887"
903,2020,0340070S,Collège du Jaur,Saint-Pons-de-Thomières,34,1,"43.485152687, 2.77101015912"
504,2020,0480607Z,Collège Henri Bourrillon,Mende,48,2,"44.5205651008, 3.50662969844"
889,2020,0110725D,Collège la Nadière,Port-la-Nouvelle,11,3,"43.0152938287, 3.0473402655"
904,2020,0340109J,Collège les Garrigues,Montpellier,34,3,"43.6426440098, 3.8170897104"
915,2020,0480015F,Collège Achille Rousson,Saint-Étienne-Vallée-Française,48,3,"44.1664542311, 3.84200964175"
294,2020,0110015G,Collège Jean Baptiste Bieules,Couiza,11,3,"42.9407637127, 2.25507021071"
301,2020,0300031W,Collège George Ville,Pont-Saint-Esprit,30,3,"44.2562769196, 4.64588054318"
302,2020,0300037C,Collège Jean Vilar,Saint-Gilles,30,3,"43.6857190477, 4.43333951677"
304,2020,0301014P,Collège Denis Diderot,Alès,30,3,"44.1328062981, 4.07873052994"
306,2020,0301209B,Collège les Fontaines,Bouillargues,30,3,"43.8003340623, 4.43454976935"
503,2020,0480005V,Collège Marcel Pierrel,Marvejols,48,3,"44.5569078111, 3.29316011116"
103,2020,0340056B,Collège UPP Saint Pons de Thomières,Olargues,34,1,"43.5562032972, 2.91673961042"
898,2020,0301721H,Collège Jean Louis Trintignant,Uzès,30,3,"44.028519592, 4.41477035441"
896,2020,0301213F,Collège Paul Valéry,Roquemaure,30,3,"44.0480398242, 4.78033053981"
479,2020,0110672W,Collège Jules Verne,Carcassonne,11,2,"43.2174450571, 2.35158998458"
505,2020,0660030Z,Collège Pierre Moréto,Thuir,66,2,"42.6336129412, 2.7594402717"
507,2020,0660864F,Collège François Mitterrand,Toulouges,66,2,"42.6654908741, 2.8406905042"
913,2020,0480002S,Collège Henri Gamala,Le Collet-de-Dèze,48,3,"44.2458831779, 3.91986047952"
914,2020,0480006W,Collège Sport Nature,La Canourgue,48,3,"44.4304664308, 3.21929027799"
498,2020,0340086J,Collège Frédéric Bazille,Castelnau-le-Lez,34,1,"43.6339667949, 3.90880976798"
118,2020,0660019M,Collège Saint Exupéry,Perpignan,66,2,"42.6809404657, 2.90278705816"
908,2020,0341367B,Collège Paul Bert,Capestang,34,2,"43.329458695, 3.04042023675"
120,2020,0660051X,Collège Albert Camus,Perpignan,66,2,"42.6911542142, 2.9090199574"
681,2020,0110666P,Collège Le Bastion,Carcassonne,11,2,"43.2164456747, 2.34890030778"
682,2020,0110686L,Collège Joseph Anglade,Lézignan-Corbières,11,2,"43.196809464, 2.76527043622"
683,2020,0110724C,Collège des Corbières Maritimes,Sigean,11,2,"43.023961596, 2.98093039251"
685,2020,0110870L,Collège Antoine Pons,Chalabre,11,2,"42.9851089045, 2.00497993951"
686,2020,0111015U,Collège Marcelin Albert,Saint-Nazaire-d'Aude,11,2,"43.2557196651, 2.90897034676"
697,2020,0340063J,Collège Louis Cahuzac,Quarante,34,2,"43.3442586389, 2.96429025336"
699,2020,0341065Y,Collège Jean Moulin,Sète,34,2,"43.4153654872, 3.67108004392"
700,2020,0341321B,Collège Katia et Maurice Krafft,Béziers,34,2,"43.3368266518, 3.249580225"
711,2020,0660008A,Collège Pierre Fouché,Ille-sur-Têt,66,3,"42.6674347127, 2.61739054467"
701,2020,0341363X,Collège de la Voie Domitienne,Le Crès,34,2,"43.6479920098, 3.93101951031"
703,2020,0341577E,Collège Le Bérange,Baillargues,34,2,"43.6670767331, 4.02226955004"
303,2020,0300947S,Collège Alphonse Daudet,Alès,30,1,"44.1352924236, 4.08584945806"
706,2020,0342186S,Collège Max Rouquette,Saint-André-de-Sangonis,34,2,"43.6546699449, 3.49792022235"
329,2020,0660049V,Collège Jean Moulin,Perpignan,66,1,"42.6969467289, 2.899559487"
330,2020,0660600U,Collège Cerdanya,Bourg-Madame,66,1,"42.4348677189, 1.94906024422"
708,2020,0480011B,Collège André Chamson,Meyrueis,48,2,"44.1799498461, 3.43142941984"
482,2020,0110788X,Collège Montesquieu,Narbonne,11,1,"43.1934084556, 3.01872967957"
714,2020,0660523K,Collège Paul Langevin,Elne,66,2,"42.6133158471, 2.9781896986"
702,2020,0341368C,Collège de l'Étang de l'Or,Mauguio,34,2,"43.6126507357, 4.00806047562"
715,2020,0660653B,Collège Jules Verne,Le Soler,66,2,"42.6788324315, 2.78077044178"
713,2020,0660522J,Collège Marcel Pagnol,Perpignan,66,3,"42.7121514378, 2.88187030741"
712,2020,0660022R,Collège Gustave Violet,Prades,66,3,"42.619996072, 2.41849051273"
677,2020,0110010B,Collège André Chénier,Carcassonne,11,2,"43.2122787954, 2.34931008288"
491,2020,0301283G,Collège Lou Redounet,Uzès,30,1,"44.0090604673, 4.4137097897"
893,2020,0300949U,Collège Jean Racine,Alès,30,1,"44.1305223437, 4.09356942244"
891,2020,0300036B,Collège Armand Coussens,Saint-Ambroix,30,1,"44.2591054169, 4.19778969588"
680,2020,0110037F,Collège Alain,Carcassonne,11,2,"43.2109519063, 2.33162942174"
508,2020,0660925X,Collège Christian Bourquin,Millas,66,3,"42.6864276173, 2.68759941973"
499,2020,0341705U,Collège Alain Savary,Saint-Mathieu-de-Tréviers,34,3,"43.7625738486, 3.86340969268"
497,2020,0340053Y,Collège Croix d'Argent,Montpellier,34,3,"43.5901236713, 3.86672053586"
119,2020,0660029Y,Collège Joseph Calvet,Saint-Paul-de-Fenouillet,66,2,"42.8087998589, 2.50565044347"
495,2020,0301746K,Collège Via Domitia,Manduel,30,3,"43.8180264011, 4.48825017339"
295,2020,0110021N,Collège Victor Hugo,Narbonne,11,1,"43.1878051934, 3.00615001634"
490,2020,0301245R,Collège Lou Castellas,Marguerittes,30,3,"43.8643880293, 4.44129998288"
488,2020,0300946R,Collège Révolution,Nîmes,30,3,"43.8411277221, 4.35535964864"
486,2020,0300042H,Collège Marceau Lapierre,Saint-Jean-du-Gard,30,3,"44.1089710382, 3.88933994461"
297,2020,0110667R,Collège Pierre et Marie Curie,Rieux-Minervois,11,1,"43.2816347265, 2.58131002347"
298,2020,0110859Z,Collège Joseph Delteil,Limoux,11,1,"43.0641830596, 2.21530968734"
299,2020,0300001N,Collège Irène Joliot Curie,Aigues-Mortes,30,1,"43.5676500654, 4.20215017098"
300,2020,0300020J,Collège Antoine Deparcieux,Le Martinet,30,1,"44.252830676, 4.08464044227"
492,2020,0301326D,Collège André Chamson,Le Vigan,30,3,"43.989870598, 3.60065939066"
90,2020,0110067N,Collège les Mailheuls,Coursan,11,1,"43.2319006101, 3.06104029549"
710,2020,0480016G,Collège du Trenze,Vialas,48,1,"44.3331989353, 3.89597048145"
481,2020,0110721Z,Collège Antoine Courrière,Cuxac-Cabardès,11,1,"43.3618712596, 2.26580041102"
506,2020,0660648W,Collège la Côte Radieuse,Canet-en-Roussillon,66,2,"42.7051558749, 2.99772032008"
325,2020,0660001T,Collège des Albères,Argelès-sur-Mer,66,1,"42.5500382677, 3.02841056816"
309,2020,0301656M,Collège Claudie Haigneré,Rochefort-du-Gard,30,1,"43.9738250696, 4.677720001"
326,2020,0660007Z,Collège Irène Joliot Curie,Estagel,66,1,"42.7703572832, 2.69483024839"
314,2020,0340115R,Collège Paul Valéry,Sète,34,1,"43.4012170981, 3.69155034747"
909,2020,0341424N,Collège Louise Michel,Ganges,34,1,"43.9366236246, 3.7052504937"
125,2020,0660866H,Collège Jean Rous,Pia,66,2,"42.7401372813, 2.92554017198"
122,2020,0660480N,Collège Jean Moulin,Arles-sur-Tech,66,2,"42.4571318685, 2.63197039146"
121,2020,0660431K,Collège Le Riberal,Saint-Estève,66,2,"42.7086982816, 2.83931047208"
480,2020,0110674Y,Collège Gaston Bonheur,Trèbes,11,1,"43.2096146282, 2.45349998889"
311,2020,0301816L,Collège Claude Chappe,Gallargues-le-Montueux,30,1,"43.7180458029, 4.17628042313"
305,2020,0301096D,Collège la Vallée Verte,Vauvert,30,1,"43.6876211755, 4.27148012771"
960,2021,0660521H,Collège Pablo Casals,Cabestany,66,3,"42.6764094572, 2.94332002109"
953,2021,0480013D,Collège Haut Gévaudan,Saint-Chély-d'Apcher,48,3,"44.8073524329, 3.26968062011"
522,2021,0301209B,Collège les Fontaines,Bouillargues,30,3,"43.8003340623, 4.43454976935"
949,2021,0342036D,Collège Pierre Mendès France,Jacou,34,3,"43.6671893915, 3.91074972156"
923,2021,0110675Z,Collège Michel Bousquié,Quillan,11,1,"42.876164008, 2.17579041988"
542,2021,0660480N,Collège Jean Moulin,Arles-sur-Tech,66,3,"42.4571318685, 2.63197039146"
728,2021,0301326D,Collège André Chamson,Le Vigan,30,3,"43.989870598, 3.60065939066"
936,2021,0301746K,Collège Via Domitia,Manduel,30,3,"43.8180264011, 4.48825017339"
543,2021,0660523K,Collège Paul Langevin,Elne,66,2,"42.6133158471, 2.9781896986"
509,2021,0110003U,Collège de l'Alaric,Capendu,11,2,"43.1859084897, 2.56341995244"
948,2021,0341825Z,Collège Ambrussum,Lunel,34,1,"43.6876054742, 4.13410022864"
719,2021,0110724C,Collège des Corbières Maritimes,Sigean,11,1,"43.023961596, 2.98093039251"
153,2021,0660431K,Collège Le Riberal,Saint-Estève,66,3,"42.7086982816, 2.83931047208"
518,2021,0300033Y,Collège Voltaire,Remoulins,30,2,"43.9391477432, 4.57085010929"
724,2021,0300141R,Collège Condorcet,Nîmes,30,1,"43.8276608398, 4.33614977357"
725,2021,0300949U,Collège Jean Racine,Alès,30,1,"44.1305223437, 4.09356942244"
932,2021,0300947S,Collège Alphonse Daudet,Alès,30,1,"44.1352924236, 4.08584945806"
929,2021,0300042H,Collège Marceau Lapierre,Saint-Jean-du-Gard,30,3,"44.1089710382, 3.88933994461"
959,2021,0660022R,Collège Gustave Violet,Prades,66,3,"42.619996072, 2.41849051273"
357,2021,0342052W,Collège Simone de Beauvoir,Frontignan,34,1,"43.4295170364, 3.73652058744"
524,2021,0301245R,Collège Lou Castellas,Marguerittes,30,3,"43.8643880293, 4.44129998288"
545,2021,0660601V,Collège Jean Amade,Céret,66,3,"42.4868710371, 2.75436022644"
950,2021,0342050U,Collège Françoise Giroud,Vendres,34,1,"43.2702388366, 3.23120964337"
730,2021,0340016H,Collège la Dullague,Béziers,34,2,"43.3426599739, 3.23330961701"
132,2021,0301013N,Collège Jean Moulin,Alès,30,3,"44.13184497, 4.07762997317"
920,2021,0110015G,Collège Jean Baptiste Bieules,Couiza,11,3,"42.9407637127, 2.25507021071"
738,2021,0341893Y,Collège Paul Émile Victor,Agde,34,3,"43.3022597724, 3.48527038242"
716,2021,0110666P,Collège Le Bastion,Carcassonne,11,2,"43.2164456747, 2.34890030778"
962,2021,0660925X,Collège Christian Bourquin,Millas,66,3,"42.6864276173, 2.68759941973"
925,2021,0110725D,Collège la Nadière,Port-la-Nouvelle,11,3,"43.0152938287, 3.0473402655"
928,2021,0300037C,Collège Jean Vilar,Saint-Gilles,30,3,"43.6857190477, 4.43333951677"
511,2021,0110674Y,Collège Gaston Bonheur,Trèbes,11,2,"43.2096146282, 2.45349998889"
734,2021,0340972X,Collège Victor Hugo,Sète,34,3,"43.4084449513, 3.70024943939"
732,2021,0340056B,Collège UPP Saint Pons de Thomières,Olargues,34,3,"43.5562032972, 2.91673961042"
952,2021,0480001R,Collège Henri Rouvière,Le Bleymard,48,3,"44.4893577861, 3.73783029606"
926,2021,0110810W,Collège de Grazailles,Carcassonne,11,3,"43.2243470524, 2.35215950467"
924,2021,0110721Z,Collège Antoine Courrière,Cuxac-Cabardès,11,3,"43.3618712596, 2.26580041102"
933,2021,0301283G,Collège Lou Redounet,Uzès,30,1,"44.0090604673, 4.4137097897"
954,2021,0480015F,Collège Achille Rousson,Saint-Étienne-Vallée-Française,48,3,"44.1664542311, 3.84200964175"
544,2021,0660600U,Collège Cerdanya,Bourg-Madame,66,1,"42.4348677189, 1.94906024422"
736,2021,0341421K,Collège Joffre,Montpellier,34,3,"43.6117701665, 3.88673979066"
540,2021,0660016J,Collège la Garrigole,Perpignan,66,3,"42.6948472397, 2.86727657243"
510,2021,0110025T,Collège Cité,Narbonne,11,3,"43.1871871048, 3.00827041122"
130,2021,0300039E,Collège de la Galaberte,Saint-Hippolyte-du-Fort,30,2,"43.9631396836, 3.85859982594"
745,2021,0660848N,Collège Alice et Jean Olibo,Saint-Cyprien,66,2,"42.6230964794, 3.00866033295"
744,2021,0660634F,Collège Climatique et Sportif,Font-Romeu-Odeillo-Via,66,2,"42.5150970307, 2.03995955126"
743,2021,0660012E,Collège Joseph Sébastien Pons,Perpignan,66,2,"42.7197414277, 2.89175023197"
742,2021,0660001T,Collège des Albères,Argelès-sur-Mer,66,2,"42.5500382677, 3.02841056816"
352,2021,0340955D,Collège Simone Veil,Montpellier,34,3,"43.6180403594, 3.84792979907"
741,2021,0480607Z,Collège Henri Bourrillon,Mende,48,1,"44.5205651008, 3.50662969844"
727,2021,0301232B,Collège Gaston Doumergue,Sommières,30,3,"43.7847374416, 4.08325039108"
726,2021,0301014P,Collège Denis Diderot,Alès,30,3,"44.1328062981, 4.07873052994"
723,2021,0300043J,Collège Jean Baptiste Dumas,Salindres,30,3,"44.1664128318, 4.16061997374"
332,2021,0110011C,Collège Blaise d'Auriol,Castelnaudary,11,3,"43.3163356798, 1.95829006889"
721,2021,0111051H,Collège Rosa Parks,Lézignan-Corbières,11,3,"43.184518864, 2.7595799942"
138,2021,0340111L,Collège Clémenceau,Montpellier,34,1,"43.6021807686, 3.8731804287"
145,2021,0342326U,Collège Boby Lapointe,Roujan,34,1,"43.505481603, 3.31503938511"
718,2021,0110686L,Collège Joseph Anglade,Lézignan-Corbières,11,3,"43.196809464, 2.76527043622"
139,2021,0341028H,Collège Georges Brassens,Lattes,34,1,"43.5669672693, 3.8996797337"
140,2021,0341032M,Collège René Cassin,Agde,34,1,"43.3118517001, 3.48133007845"
142,2021,0341424N,Collège Louise Michel,Ganges,34,1,"43.9366236246, 3.7052504937"
717,2021,0110667R,Collège Pierre et Marie Curie,Rieux-Minervois,11,1,"43.2816347265, 2.58131002347"
737,2021,0341577E,Collège Le Bérange,Baillargues,34,1,"43.6670767331, 4.02226955004"
735,2021,0341367B,Collège Paul Bert,Capestang,34,1,"43.329458695, 3.04042023675"
720,2021,0110870L,Collège Antoine Pons,Chalabre,11,3,"42.9851089045, 2.00497993951"
939,2021,0340034C,Collège Roger Contrepas,Marsillargues,34,1,"43.6674224763, 4.17421008"
333,2021,0110026U,Collège Jules Ferry,Narbonne,11,3,"43.1789454566, 3.00081979452"
336,2021,0300031W,Collège George Ville,Pont-Saint-Esprit,30,3,"44.2562769196, 4.64588054318"
141,2021,0341366A,Collège du Salagou,Clermont-l'Hérault,34,2,"43.6341692684, 3.43125035714"
148,2021,0480014E,Collège UPP Pierre delmas,Sainte-Enimie,48,1,"44.3669528713, 3.41120962813"
515,2021,0300016E,Collège de la Regordane,Génolhac,30,3,"44.3495919152, 3.94858022887"
128,2021,0110672W,Collège Jules Verne,Carcassonne,11,2,"43.2174450571, 2.35158998458"
517,2021,0300025P,Collège Romain Rolland,Nîmes,30,3,"43.8446529432, 4.39021018203"
740,2021,0342224H,Collège Olympe de Gouges,Loupian,34,1,"43.4477739876, 3.6074897953"
133,2021,0301208A,Collège Eugène Vigné,Beaucaire,30,1,"43.8104662202, 4.6377803152"
747,2021,0660866H,Collège Jean Rous,Pia,66,2,"42.7401372813, 2.92554017198"
127,2021,0110021N,Collège Victor Hugo,Narbonne,11,1,"43.1878051934, 3.00615001634"
335,2021,0300013B,Collège Le Castellas,Bessèges,30,3,"44.2934511404, 4.09540034382"
134,2021,0301721H,Collège Jean Louis Trintignant,Uzès,30,3,"44.028519592, 4.41477035441"
126,2021,0110010B,Collège André Chénier,Carcassonne,11,2,"43.2122787954, 2.34931008288"
746,2021,0660864F,Collège François Mitterrand,Toulouges,66,2,"42.6654908741, 2.8406905042"
363,2021,0660522J,Collège Marcel Pagnol,Perpignan,66,3,"42.7121514378, 2.88187030741"
360,2021,0480004U,Collège Marthe Dupeyron,Langogne,48,3,"44.7235510008, 3.85283017106"
519,2021,0300945P,Collège Feuchères,Nîmes,30,1,"43.8346647285, 4.36436997917"
358,2021,0342076X,Collège de la Petite Camargue,Lansargues,34,3,"43.6548701317, 4.08186989454"
348,2021,0340051W,Collège Fontcarrade,Montpellier,34,3,"43.6075877251, 3.85417007214"
342,2021,0301282F,Collège Elsa Triolet,Beaucaire,30,3,"43.8104670616, 4.62201018325"
338,2021,0300062E,Collège Capouchiné,Nîmes,30,3,"43.8224816364, 4.35695996915"
131,2021,0300929X,Collège du Mont Duplan,Nîmes,30,3,"43.8433058201, 4.36424053265"
150,2021,0660008A,Collège Pierre Fouché,Ille-sur-Têt,66,3,"42.6674347127, 2.61739054467"
512,2021,0110676A,Collège Saint Exupéry,Bram,11,2,"43.2391799899, 2.11086056286"
144,2021,0342131G,Collège François Rabelais,Montpellier,34,2,"43.6260229991, 3.83347044839"
513,2021,0110859Z,Collège Joseph Delteil,Limoux,11,1,"43.0641830596, 2.21530968734"
955,2021,0660007Z,Collège Irène Joliot Curie,Estagel,66,1,"42.7703572832, 2.69483024839"
521,2021,0301012M,Collège Léo Larguier,La Grand-Combe,30,2,"44.2101391558, 4.03036051229"
946,2021,0341386X,Collège Lo Trentanel,Gignac,34,1,"43.6552766575, 3.54908949165"
535,2021,0341764H,Collège François Villon,Saint-Gély-du-Fesc,34,2,"43.6926718053, 3.79933962463"
534,2021,0341364Y,Collège Gérard Philipe,Montpellier,34,1,"43.5973433958, 3.88440958533"
537,2021,0480003T,Collège des Trois Vallées,Florac,48,2,"44.3219028103, 3.59757997599"
538,2021,0480011B,Collège André Chamson,Meyrueis,48,2,"44.1799498461, 3.43142941984"
354,2021,0341280G,Collège les Pins,Castries,34,2,"43.6830372278, 3.98875955951"
136,2021,0340008Z,Collège Victor Hugo,Bessan,34,3,"43.3632534598, 3.42253958791"
347,2021,0340032A,Collège les Arbourys,Magalas,34,1,"43.4705426287, 3.22338016058"
334,2021,0110825M,Collège les Fontanilles,Castelnaudary,11,2,"43.3181114475, 1.94445047802"
356,2021,0341368C,Collège de l'Étang de l'Or,Mauguio,34,1,"43.6126507357, 4.00806047562"
927,2021,0300006U,Collège Florian,Anduze,30,1,"44.053275465, 3.98381045633"
940,2021,0340053Y,Collège Croix d'Argent,Montpellier,34,3,"43.5901236713, 3.86672053586"
956,2021,0660017K,Collège Jean Macé,Perpignan,66,1,"42.6952140275, 2.8876601781"
